challenge_ID,programming_language,challenge_series_ID,total_submissions,publish_date,author_ID,author_gender,author_org_ID,category_id
CI23584,2,SI2447,43,06-04-2004,AI563669,M,AOI100075,
CI23585,2,SI2447,64,08-06-2004,AI563670,M,AOI100019,
CI23586,1,SI2447,53,16-11-2004,AI563671,M,AOI100076,41
CI23587,2,SI2447,108,11-03-2002,AI563672,F,AOI100002,
CI23588,2,SI2447,49,11-06-2002,AI563673,F,AOI100077,
CI23589,2,SI2447,59,12-12-2000,AI563674,M,AOI100019,
CI23590,2,SI2447,174,06-02-2007,AI563675,M,AOI100011,
CI23591,2,SI2447,48,24-04-2001,AI563669,M,AOI100075,
CI23592,1,SI2447,36,28-11-2002,AI563676,M,AOI100078,
CI23593,1,SI2447,64,26-11-2002,AI563677,M,AOI100062,
CI23594,1,SI2447,215,20-05-2005,AI563678,F,AOI100079,40
CI23595,2,SI2447,102,20-05-2003,AI563679,M,AOI100063,
CI23596,2,SI2447,17,13-05-2003,AI563576,M,AOI100001,
CI23597,2,SI2447,86,27-05-2003,AI563657,M,AOI100069,
CI23598,1,SI2447,565,17-06-2003,AI563680,M,AOI100080,39
CI23599,2,SI2447,68,10-06-2003,AI563681,M,AOI100026,
CI23600,1,SI2447,52,02-10-2003,AI563682,M,AOI100081,
CI23601,2,SI2447,44,20-03-2003,AI563613,M,AOI100001,
CI23602,2,SI2447,33,11-03-2003,AI563683,M,AOI100082,
CI23603,2,SI2447,89,25-02-2003,AI563684,M,AOI100011,
CI23604,1,SI2447,188,17-04-2007,AI563640,M,AOI100054,29
CI23605,1,SI2447,107,17-04-2007,AI563640,M,AOI100054,
CI23606,2,SI2447,63,06-05-2003,AI563685,M,AOI100069,
CI23607,2,SI2447,78,04-06-2002,AI563577,M,AOI100002,
CI23608,2,SI2447,75,21-05-2002,AI563686,M,AOI100002,
CI23609,2,SI2447,347,07-05-2002,AI563653,M,AOI100066,35
CI23610,1,SI2447,92,09-04-2002,AI563687,M,AOI100001,
CI23611,1,SI2447,61,02-04-2002,AI563616,F,AOI100001,
CI23612,1,SI2525,9020,08-12-2006,AI563688,M,AOI100083,77
CI23613,1,SI2478,21,01-05-2006,,,,
CI23614,1,SI2458,157,10-12-2005,AI563689,M,AOI100084,30
CI23615,1,SI2524,71,08-12-2006,AI563690,M,AOI100085,
CI23616,1,SI2524,185,08-12-2006,AI563691,M,AOI100086,45
CI23617,1,SI2464,291,24-02-2005,AI563611,M,AOI100032,39
CI23618,1,SI2525,122,08-12-2006,AI563692,M,AOI100087,77
CI23619,1,SI2448,134,03-10-2006,AI563693,M,AOI100088,31
CI23620,1,SI2479,18,10-04-2006,AI563694,M,AOI100089,122
CI23621,1,SI2478,104,01-05-2006,AI563695,M,AOI100090,87
CI23622,1,SI2464,410,23-02-2005,AI563696,M,AOI100091,74
CI23623,1,SI2459,224,14-07-2006,AI563697,M,AOI100092,113
CI23624,1,SI2456,62,05-05-2004,AI563698,M,AOI100093,81
CI23625,1,SI2456,214,04-05-2004,AI563699,M,AOI100085,31
CI23626,1,SI2459,285,14-07-2006,AI563576,M,AOI100001,60
CI23627,1,SI2464,164,23-02-2005,AI563700,M,AOI100085,77
CI23628,1,SI2455,97,07-10-2004,AI563701,M,AOI100094,46
CI23629,1,SI2455,83,09-10-2005,AI563702,M,AOI100095,31
CI23630,1,SI2455,51,08-10-2005,AI563703,M,AOI100096,46
CI23631,1,SI2456,289,05-05-2004,AI563704,M,AOI100093,52
CI23632,1,SI2456,126,04-05-2004,AI563705,M,AOI100085,31
CI23633,1,SI2456,49,05-05-2004,AI563706,M,AOI100097,
CI23634,1,SI2478,35,01-05-2006,AI563707,M,AOI100083,
CI23635,1,SI2448,105,03-10-2006,AI563708,M,AOI100085,77
CI23636,1,SI2464,99,23-02-2005,AI563709,M,AOI100098,
CI23637,1,SI2464,924,23-02-2005,AI563710,M,AOI100099,49
CI23638,1,SI2471,161,11-06-2005,AI563711,M,AOI100100,132
CI23639,1,SI2471,502,13-06-2005,AI563712,M,AOI100101,46
CI23640,1,SI2451,45,17-11-2005,AI563713,F,AOI100102,64
CI23641,1,SI2479,45,05-04-2006,AI563714,M,AOI100089,122
CI23642,1,SI2479,215,05-04-2006,AI563715,M,AOI100089,122
CI23643,1,SI2451,94,16-11-2005,AI563716,M,AOI100089,53
CI23644,1,SI2464,148,23-02-2005,AI563717,M,AOI100103,132
CI23645,1,SI2451,235,18-11-2005,AI563718,M,AOI100104,92
CI23646,1,SI2468,617,31-07-2006,AI563719,M,AOI100105,118
CI23647,1,SI2451,384,17-11-2005,AI563659,M,AOI100066,67
CI23648,1,SI2468,2186,31-07-2006,AI563691,M,AOI100086,30
CI23649,1,SI2468,130,31-07-2006,AI563691,M,AOI100086,29
CI23650,1,SI2468,92,31-07-2006,AI563720,M,AOI100054,47
CI23651,1,SI2468,1351,31-07-2006,AI563721,M,AOI100106,81
CI23652,1,SI2451,129,16-11-2005,AI563722,M,AOI100001,53
CI23653,1,SI2451,1591,16-11-2005,AI563576,M,AOI100001,53
CI23654,1,SI2464,284,23-02-2005,AI563723,M,AOI100107,74
CI23655,1,SI2468,212,24-07-2006,AI563655,M,AOI100068,29
CI23656,1,SI2479,18,10-04-2006,AI563694,M,AOI100089,122
CI23657,1,SI2459,83,14-07-2006,AI563724,M,AOI100098,120
CI23658,1,SI2464,78,23-02-2005,AI563725,M,AOI100108,77
CI23659,1,SI2459,415,13-07-2006,AI563726,M,AOI100109,31
CI23660,1,SI2467,199,07-07-2006,AI563727,M,AOI100049,82
CI23661,1,SI2459,347,11-07-2006,AI563728,M,AOI100110,60
CI23662,1,SI2472,2142,14-09-2004,AI563710,M,AOI100099,49
CI23663,1,SI2472,8897,15-09-2004,AI563724,M,AOI100098,45
CI23664,1,SI2459,429,12-07-2006,AI563729,M,AOI100111,120
CI23665,1,SI2457,116,09-02-2006,AI563730,M,AOI100112,82
CI23666,1,SI2463,656,04-08-2003,AI563731,M,AOI100113,32
CI23667,1,SI2463,3980,06-08-2003,AI563732,M,AOI100085,31
CI23668,1,SI2479,129,09-04-2006,AI563733,M,AOI100089,122
CI23669,1,SI2450,661,09-09-2004,AI563734,M,AOI100114,77
CI23670,1,SI2452,61,03-10-2005,AI563735,M,AOI100115,
CI23671,1,SI2475,37,07-07-2005,AI563736,M,AOI100116,
CI23672,1,SI2475,103,07-07-2005,AI563737,M,AOI100117,
CI23673,1,SI2462,153,31-01-2005,AI563691,M,AOI100086,82
CI23674,1,SI2462,483,03-02-2005,AI563738,M,AOI100085,30
CI23675,1,SI2462,22,02-02-2005,AI563730,M,AOI100112,82
CI23676,1,SI2462,47,02-02-2005,AI563730,M,AOI100112,82
CI23677,1,SI2479,775,09-04-2006,AI563733,M,AOI100089,115
CI23678,1,SI2478,38,01-05-2006,AI563739,M,AOI100091,
CI23679,1,SI2478,78,01-05-2006,AI563740,M,AOI100118,
CI23680,1,SI2473,70,13-04-2005,AI563741,M,AOI100119,62
CI23681,1,SI2473,31,13-04-2005,AI563742,M,AOI100083,62
CI23682,1,SI2473,56,13-04-2005,AI563743,M,AOI100120,62
CI23683,1,SI2479,9,07-04-2006,AI563715,M,AOI100089,122
CI23684,1,SI2451,72,16-11-2005,AI563733,M,AOI100089,53
CI23685,1,SI2523,170,08-12-2006,AI563744,M,AOI100121,
CI23686,1,SI2523,228,08-12-2006,AI563745,M,AOI100047,
CI23687,1,SI2469,113,19-05-2005,AI563746,M,AOI100122,32
CI23688,1,SI2469,564,18-05-2005,AI563747,M,AOI100123,110
CI23689,1,SI2469,129,27-05-2005,AI563640,M,AOI100054,29
CI23690,1,SI2469,453,18-05-2005,AI563748,M,AOI100124,29
CI23691,1,SI2469,4823,25-05-2005,AI563749,M,AOI100125,33
CI23692,1,SI2469,333,23-05-2005,AI563750,M,AOI100126,81
CI23693,1,SI2469,58,17-05-2005,AI563751,M,AOI100127,29
CI23694,1,SI2469,230,24-05-2005,AI563752,M,AOI100128,30
CI23695,1,SI2479,97,09-04-2006,AI563733,M,AOI100089,122
CI23696,1,SI2457,643,14-02-2006,AI563753,M,AOI100086,114
CI23697,1,SI2450,1280,07-09-2004,AI563754,M,AOI100129,46
CI23698,1,SI2450,166,07-10-2004,AI563755,M,AOI100130,46
CI23699,1,SI2449,377,21-06-2004,AI563756,M,AOI100131,132
CI23700,1,SI2450,208,07-09-2004,AI563757,M,AOI100132,29
CI23701,1,SI2450,53,07-09-2004,AI563739,M,AOI100091,77
CI23702,1,SI2463,576,07-08-2003,AI563691,M,AOI100086,30
CI23703,1,SI2479,346,31-03-2006,AI563758,M,AOI100089,122
CI23704,1,SI2479,784,11-04-2006,AI563759,M,AOI100089,122
CI23705,1,SI2479,279,30-03-2006,AI563758,M,AOI100089,122
CI23706,1,SI2467,70,07-07-2006,AI563576,M,AOI100001,
CI23707,1,SI2467,70,06-07-2006,AI563760,M,AOI100133,
CI23708,1,SI2479,151,30-03-2006,AI563758,M,AOI100089,122
CI23709,1,SI2467,173,07-07-2006,AI563761,F,AOI100134,50
CI23710,1,SI2467,94,07-07-2006,AI563762,M,AOI100135,
CI23711,1,SI2467,156,07-07-2006,AI563763,M,AOI100136,54
CI23712,1,SI2467,133,07-07-2006,AI563764,,,50
CI23713,1,SI2466,68,17-03-2005,AI563765,M,AOI100137,
CI23714,1,SI2477,14723,12-06-2006,AI563766,M,AOI100129,29
CI23715,1,SI2467,99,07-07-2006,AI563767,M,AOI100093,
CI23716,1,SI2456,324,04-05-2004,AI563768,M,AOI100138,81
CI23717,1,SI2478,37,02-05-2006,AI563769,M,AOI100139,
CI23718,1,SI2470,65,05-10-2005,AI563770,M,AOI100113,
CI23719,1,SI2470,18,04-10-2005,AI563655,M,AOI100068,
CI23720,1,SI2470,58,05-10-2004,AI563771,F,AOI100140,
CI23721,1,SI2470,72,04-10-2005,AI563772,M,AOI100108,
CI23722,1,SI2470,81,03-10-2005,AI563748,M,AOI100124,
CI23723,1,SI2470,440,03-10-2005,AI563691,M,AOI100086,66
CI23724,1,SI2470,647,03-10-2005,AI563773,M,AOI100141,31
CI23725,1,SI2470,80,04-10-2005,AI563774,M,AOI100142,
CI23726,1,SI2463,296,07-08-2003,AI563751,M,AOI100127,118
CI23727,1,SI2448,276,03-10-2006,AI563775,M,AOI100143,61
CI23728,1,SI2458,213,09-12-2005,AI563776,M,AOI100144,77
CI23729,1,SI2458,52,09-12-2005,AI563777,M,AOI100108,31
CI23730,1,SI2459,145,13-07-2006,AI563778,F,AOI100145,30
CI23731,1,SI2481,174,25-07-2005,AI563779,M,AOI100146,39
CI23732,1,SI2479,38,08-04-2006,AI563715,M,AOI100089,122
CI23733,1,SI2451,76,19-11-2005,AI563780,F,AOI100001,64
CI23734,1,SI2453,35,09-08-2005,AI563781,M,AOI100147,29
CI23735,1,SI2458,154,09-12-2005,AI563782,M,AOI100148,31
CI23736,1,SI2458,90,09-12-2005,AI563783,M,AOI100149,31
CI23737,1,SI2458,97,09-12-2005,AI563784,M,AOI100150,31
CI23738,1,SI2458,42,09-12-2005,AI563785,M,AOI100128,
CI23739,1,SI2468,79,27-07-2006,AI563783,M,AOI100149,120
CI23740,1,SI2468,346,27-07-2006,AI563786,F,AOI100151,32
CI23741,1,SI2468,1055,27-07-2006,AI563787,M,AOI100152,30
CI23742,1,SI2460,40,13-02-2002,AI563788,M,AOI100086,29
CI23743,1,SI2468,228,28-07-2006,AI563789,M,AOI100153,61
CI23744,1,SI2448,680,04-10-2006,AI563790,F,AOI100154,29
CI23745,1,SI2464,95,24-02-2005,AI563791,M,AOI100130,
CI23746,1,SI2464,48,24-02-2005,AI563792,M,AOI100155,
CI23747,1,SI2469,56,27-05-2005,AI563793,M,AOI100156,47
CI23748,1,SI2469,315,25-05-2005,AI563794,M,AOI100157,60
CI23749,1,SI2479,57,11-04-2006,AI563694,M,AOI100089,122
CI23750,1,SI2525,134,08-12-2006,AI563734,M,AOI100114,77
CI23751,1,SI2448,200,04-10-2006,AI563795,F,AOI100158,
CI23752,1,SI2452,103,03-10-2005,AI563796,M,AOI100159,
CI23753,1,SI2452,78,03-10-2005,AI563797,M,AOI100160,
CI23754,1,SI2452,225,03-10-2005,AI563798,F,AOI100161,74
CI23755,1,SI2452,41,03-10-2005,AI563799,M,AOI100162,
CI23756,1,SI2452,197,03-10-2005,AI563800,F,AOI100163,66
CI23757,1,SI2461,224,23-01-2005,AI563745,M,AOI100047,37
CI23758,1,SI2461,33,23-01-2005,AI563801,M,AOI100164,
CI23759,1,SI2461,107,22-01-2005,AI563802,M,AOI100164,41
CI23760,1,SI2479,206,01-04-2006,AI563758,M,AOI100089,122
CI23761,1,SI2479,85,01-04-2006,AI563758,M,AOI100089,122
CI23762,1,SI2479,73,31-03-2006,AI563758,M,AOI100089,122
CI23763,1,SI2479,218,31-03-2006,AI563758,M,AOI100089,122
CI23764,1,SI2469,534,17-05-2005,AI563655,M,AOI100068,86
CI23765,1,SI2479,702,01-04-2006,AI563758,M,AOI100089,122
CI23766,1,SI2479,223,01-04-2006,AI563758,M,AOI100089,122
CI23767,1,SI2469,77,26-05-2005,AI563803,M,AOI100165,29
CI23768,1,SI2469,838,26-05-2005,AI563804,F,AOI100165,113
CI23769,1,SI2469,3796,25-05-2005,AI563754,M,AOI100129,46
CI23770,1,SI2469,1542,16-05-2005,AI563805,M,AOI100166,66
CI23771,1,SI2481,149,24-07-2005,AI563806,F,AOI100167,31
CI23772,1,SI2481,46,24-07-2005,AI563807,M,AOI100092,
CI23773,1,SI2464,43,25-02-2005,AI563808,M,AOI100168,
CI23774,1,SI2464,757,25-02-2005,AI563809,M,AOI100089,114
CI23775,1,SI2464,131,25-02-2005,AI563810,M,AOI100169,
CI23776,1,SI2522,1134,08-12-2006,AI563811,M,AOI100170,72
CI23777,1,SI2475,49,06-07-2005,AI563812,M,AOI100171,
CI23778,1,SI2481,96,24-07-2005,AI563813,M,AOI100128,
CI23779,1,SI2481,77,24-07-2005,AI563814,M,AOI100172,
CI23780,1,SI2522,400,08-12-2006,AI563815,M,AOI100173,72
CI23781,1,SI2463,2868,05-08-2003,AI563816,M,AOI100174,29
CI23782,1,SI2463,973,04-08-2003,AI563817,M,AOI100175,74
CI23783,1,SI2525,43,08-12-2006,,,,
CI23784,1,SI2521,120,08-12-2006,AI563818,M,AOI100155,120
CI23785,1,SI2522,455,08-12-2006,AI563819,F,AOI100022,72
CI23786,1,SI2522,273,08-12-2006,AI563820,M,AOI100176,72
CI23787,1,SI2521,36,08-12-2006,AI563808,M,AOI100168,
CI23788,1,SI2521,120,08-12-2006,AI563821,M,AOI100085,30
CI23789,1,SI2521,469,08-12-2006,AI563750,M,AOI100126,29
CI23790,1,SI2474,1190,07-10-2005,AI563822,M,AOI100174,45
CI23791,1,SI2521,1119,08-12-2006,AI563823,M,,74
CI23792,1,SI2521,81,08-12-2006,AI563824,M,AOI100177,
CI23793,1,SI2465,24,18-12-2004,AI563825,M,AOI100178,
CI23794,1,SI2461,26,22-01-2005,AI563826,M,AOI100179,
CI23795,1,SI2457,916,07-02-2006,AI563772,M,AOI100108,32
CI23796,1,SI2461,63,20-01-2005,AI563827,M,AOI100047,61
CI23797,1,SI2461,117,20-01-2005,AI563828,M,AOI100047,
CI23798,1,SI2461,83,20-01-2005,AI563829,M,AOI100180,
CI23799,1,SI2461,96,22-01-2005,AI563830,M,AOI100047,
CI23800,1,SI2461,161,21-01-2005,AI563831,M,AOI100132,
CI23801,1,SI2461,283,21-01-2005,AI563832,M,AOI100181,45
CI23802,1,SI2461,77,21-01-2005,AI563833,M,AOI100181,
CI23803,1,SI2525,501,08-12-2006,AI563834,M,AOI100182,78
CI23804,1,SI2460,626,21-02-2002,AI563835,M,AOI100183,135
CI23805,1,SI2456,982,04-05-2004,AI563836,M,AOI100184,52
CI23806,1,SI2456,171,04-05-2004,AI563688,M,AOI100083,81
CI23807,1,SI2456,135,04-05-2004,AI563837,M,AOI100185,
CI23808,1,SI2456,92,04-05-2004,AI563726,M,AOI100109,
CI23809,1,SI2456,55,04-05-2004,AI563688,M,AOI100083,81
CI23810,1,SI2456,105,04-05-2004,AI563838,M,AOI100186,
CI23811,1,SI2456,366,03-05-2004,AI563839,M,AOI100164,81
CI23812,1,SI2456,1595,03-05-2004,AI563840,M,AOI100187,52
CI23813,1,SI2456,369,03-05-2004,AI563841,F,AOI100093,52
CI23814,1,SI2464,185,24-02-2005,AI563842,M,AOI100128,114
CI23815,1,SI2476,99,17-06-2006,AI563843,M,AOI100188,41
CI23816,1,SI2471,39,13-06-2005,AI563740,M,AOI100118,
CI23817,1,SI2471,88,12-06-2005,AI563844,F,AOI100189,
CI23818,1,SI2471,35,12-06-2005,AI563845,F,AOI100190,
CI23819,1,SI2471,165,12-06-2005,AI563846,M,AOI100080,
CI23820,1,SI2471,21,12-06-2005,AI563847,F,AOI100191,
CI23821,1,SI2471,238,12-06-2005,AI563848,M,AOI100192,
CI23822,1,SI2479,283,04-04-2006,AI563849,F,AOI100193,122
CI23823,1,SI2479,33,03-04-2006,AI563850,M,AOI100194,122
CI23824,1,SI2479,107,03-04-2006,AI563851,F,AOI100195,122
CI23825,1,SI2479,159,03-04-2006,AI563852,M,AOI100196,122
CI23826,1,SI2479,108,04-04-2006,AI563853,M,AOI100197,122
CI23827,1,SI2479,290,04-04-2006,AI563854,F,AOI100197,59
CI23828,1,SI2479,48,04-04-2006,AI563855,M,AOI100193,122
CI23829,1,SI2479,130,05-04-2006,AI563724,M,AOI100098,30
CI23830,1,SI2454,606,04-11-2005,AI563737,M,AOI100117,60
CI23831,1,SI2454,838,04-11-2005,AI563856,M,AOI100198,47
CI23832,1,SI2454,115,03-11-2005,AI563857,M,AOI100113,47
CI23833,1,SI2454,89,31-10-2005,AI563765,M,AOI100137,47
CI23834,1,SI2461,104,20-01-2005,AI563858,M,AOI100132,
CI23835,1,SI2459,95,11-07-2006,AI563701,M,AOI100094,
CI23836,1,SI2468,2238,02-08-2006,AI563859,F,AOI100199,41
CI23837,1,SI2454,532,29-10-2005,AI563860,M,AOI100200,47
CI23838,1,SI2477,24,13-06-2006,,,,
CI23839,1,SI2479,216,08-04-2006,AI563826,M,AOI100179,46
CI23840,1,SI2457,955,16-02-2006,AI563710,M,AOI100099,49
CI23841,1,SI2459,858,12-07-2006,AI563861,M,AOI100201,81
CI23842,1,SI2464,61,24-02-2005,AI563613,M,AOI100001,
CI23843,1,SI2459,88,13-07-2006,AI563862,M,AOI100202,78
CI23844,1,SI2451,114,16-11-2005,AI563863,M,AOI100066,
CI23845,1,SI2448,61,04-10-2006,AI563864,M,AOI100203,
CI23846,1,SI2460,321,14-02-2002,AI563865,M,AOI100153,37
CI23847,1,SI2472,307,15-09-2004,AI563866,M,AOI100105,45
CI23848,1,SI2472,3395,16-09-2004,AI563867,M,AOI100204,61
CI23849,1,SI2451,101,16-11-2005,AI563868,M,AOI100073,
CI23850,1,SI2480,109,10-04-2006,AI563869,M,AOI100205,
CI23851,1,SI2480,88,10-04-2006,AI563870,F,AOI100206,
CI23852,1,SI2480,93,10-04-2006,AI563871,M,AOI100207,39
CI23853,1,SI2467,125,08-07-2006,AI563862,M,AOI100202,78
CI23854,1,SI2480,140,11-04-2006,AI563697,M,AOI100092,50
CI23855,1,SI2468,20993,24-07-2006,AI563823,M,,29
CI23856,1,SI2463,1520,06-08-2003,AI563872,M,AOI100085,77
CI23857,1,SI2471,40,13-06-2005,AI563873,M,AOI100208,
CI23858,1,SI2471,130,13-06-2005,AI563873,M,AOI100208,27
CI23859,1,SI2466,227,18-03-2005,AI563874,M,AOI100085,31
CI23860,1,SI2466,89,18-03-2005,AI563777,M,AOI100108,31
CI23861,1,SI2466,94,18-03-2005,AI563875,M,AOI100209,31
CI23862,1,SI2466,57,17-03-2005,AI563862,M,AOI100202,
CI23863,1,SI2466,65,17-03-2005,AI563876,M,AOI100089,
CI23864,1,SI2462,136,31-01-2005,AI563877,M,AOI100086,45
CI23865,1,SI2462,235,02-02-2005,AI563878,M,AOI100112,37
CI23866,1,SI2462,2036,03-02-2005,AI563879,M,AOI100210,67
CI23867,1,SI2523,217,08-12-2006,AI563880,M,AOI100211,123
CI23868,1,SI2523,128,08-12-2006,AI563880,M,AOI100211,112
