pet_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category
ANSL_61988,2010-05-05 00:00:00,2018-05-25 14:28:00,2.0,Buff,0.27,32.8,18,4,0.0,1
ANSL_69265,2016-02-02 00:00:00,2018-03-17 14:27:00,1.0,Blue Tick,0.58,39.96,0,1,0.0,2
ANSL_76161,2011-04-05 00:00:00,2019-04-27 11:40:00,0.0,Black,0.18,48.06,0,7,1.0,2
ANSL_72371,2017-07-12 00:00:00,2018-08-05 17:08:00,0.0,White,0.01,30.99,0,1,1.0,2
ANSL_62897,2015-09-22 00:00:00,2018-09-07 12:08:00,0.0,Brown,0.56,16.55,7,1,1.0,2
ANSL_60626,2018-08-19 00:00:00,2018-11-17 16:12:00,0.0,Orange Tabby,0.46,27.83,0,1,1.0,1
ANSL_55226,2014-09-23 00:00:00,2017-11-04 17:07:00,1.0,Brown,0.45,35.75,0,1,0.0,2
ANSL_75066,2018-03-01 00:00:00,2018-09-20 10:42:00,,Red,0.15,36.73,12,1,2.0,0
ANSL_58763,2016-11-29 00:00:00,2018-12-24 17:41:00,2.0,Tricolor,0.64,35.69,13,9,1.0,2
ANSL_63362,2016-03-19 00:00:00,2018-04-26 17:13:00,1.0,Orange Tabby,0.3,29.19,0,1,0.0,1
ANSL_60528,2014-10-27 00:00:00,2017-11-18 09:00:00,1.0,Orange Tabby,0.32,40.57,16,9,0.0,1
ANSL_66119,2015-03-02 00:00:00,2018-04-05 13:45:00,1.0,Black,0.1,7.12,0,7,0.0,2
ANSL_73664,2017-10-04 00:00:00,2018-12-02 08:09:00,1.0,Black,0.0,32.98,7,1,0.0,2
ANSL_58286,2015-10-01 00:00:00,2018-11-11 16:03:00,0.0,Blue,0.01,43.68,0,1,1.0,1
ANSL_54029,2016-07-29 00:00:00,2018-09-20 19:05:00,0.0,Torbie,0.89,12.65,0,1,1.0,1
ANSL_73990,2016-07-02 00:00:00,2016-11-28 18:54:00,1.0,White,0.46,19.38,0,1,0.0,1
ANSL_54886,2018-01-30 00:00:00,2019-03-06 12:20:00,0.0,Brown Tabby,0.91,45.39,0,1,1.0,1
ANSL_75713,2018-03-22 00:00:00,2019-04-16 12:42:00,2.0,Brown Tabby,0.43,49.54,17,9,1.0,1
ANSL_61116,2016-11-10 00:00:00,2017-02-18 18:57:00,0.0,Brown Tabby,0.67,42.6,0,1,1.0,1
ANSL_60330,2017-09-05 00:00:00,2017-12-11 20:10:00,1.0,Black,0.93,20.02,0,1,0.0,2
ANSL_72100,2017-06-09 00:00:00,2018-07-03 14:53:00,0.0,Tan,0.0,22.2,0,7,1.0,2
ANSL_66412,2017-01-27 00:00:00,2019-03-03 11:54:00,0.0,Orange,0.41,6.47,0,1,1.0,1
ANSL_70858,2017-07-30 00:00:00,2018-08-24 16:59:00,1.0,Black,0.02,36.19,17,9,0.0,1
ANSL_73513,2016-11-24 00:00:00,2017-02-25 18:47:00,0.0,Torbie,0.44,25.45,0,1,1.0,1
ANSL_70120,2014-06-24 00:00:00,2018-01-19 18:19:00,1.0,Tan,0.21,31.52,0,7,0.0,2
ANSL_71504,2016-07-04 00:00:00,2016-11-25 18:46:00,0.0,Blue Tabby,0.11,42.76,0,1,1.0,1
ANSL_71993,2012-07-21 00:00:00,2017-08-05 17:34:00,0.0,Chocolate,0.84,22.98,0,7,1.0,2
ANSL_69762,2013-12-27 00:00:00,2018-10-05 15:59:00,0.0,Black,0.09,8.86,0,1,1.0,1
ANSL_59393,2018-07-19 00:00:00,2018-12-23 19:15:00,1.0,Orange Tabby,0.06,15.46,0,1,0.0,1
ANSL_76646,2018-09-24 00:00:00,2019-05-08 13:05:00,2.0,White,0.61,25.47,0,7,0.0,2
ANSL_66359,2015-01-16 00:00:00,2017-02-07 09:16:00,2.0,Orange Tabby,0.81,42.33,18,4,0.0,1
ANSL_67558,2010-10-02 00:00:00,2018-10-22 13:25:00,1.0,Chocolate,0.14,45.05,0,7,0.0,2
ANSL_52564,2009-06-01 00:00:00,2017-06-26 17:07:00,2.0,Black,0.05,31.45,13,9,1.0,1
ANSL_63471,2007-02-19 00:00:00,2017-03-10 18:29:00,2.0,Brown Tabby,0.82,17.62,9,2,1.0,1
ANSL_50012,2016-09-04 00:00:00,2017-01-23 18:20:00,1.0,Black,0.81,29.03,0,1,0.0,1
ANSL_54755,2015-04-12 00:00:00,2018-09-07 16:46:00,0.0,White,0.76,46.05,0,1,1.0,2
ANSL_69874,2016-09-16 00:00:00,2018-10-11 15:57:00,1.0,Black,0.92,11.19,0,1,0.0,1
ANSL_52815,2016-11-17 00:00:00,2016-12-10 19:24:00,,Calico,0.99,44.23,13,9,2.0,1
ANSL_63690,2016-09-18 00:00:00,2018-10-10 09:16:00,,Red,0.16,8.42,15,4,2.0,4
ANSL_74184,2017-09-17 00:00:00,2017-10-31 12:24:00,2.0,Black Tabby,0.33,33.54,13,9,0.0,1
ANSL_68874,2016-11-16 00:00:00,2017-04-02 13:44:00,2.0,Black,0.95,44.05,13,9,1.0,1
ANSL_64736,2014-08-13 00:00:00,2017-09-03 18:54:00,2.0,Red,0.17,33.19,15,4,1.0,4
ANSL_60337,2016-09-13 00:00:00,2016-12-17 14:57:00,1.0,Tan,0.14,17.85,13,9,0.0,2
ANSL_65602,2017-10-11 00:00:00,2018-01-04 17:17:00,2.0,Brown Tabby,0.37,17.3,0,1,0.0,1
ANSL_66640,2016-09-06 00:00:00,2016-12-16 17:30:00,1.0,Black Brindle,0.41,24.66,0,1,0.0,2
ANSL_55016,2016-04-04 00:00:00,2017-04-28 18:45:00,1.0,Cream Tabby,0.52,6.25,0,1,0.0,1
ANSL_74939,2016-03-24 00:00:00,2017-11-13 16:00:00,1.0,White,0.91,24.31,0,7,0.0,2
ANSL_54794,2017-09-06 00:00:00,2017-12-04 12:30:00,0.0,Blue Tabby,0.69,42.55,0,1,1.0,1
ANSL_66067,2011-12-03 00:00:00,2016-12-23 16:42:00,0.0,Black,0.04,5.4,0,7,1.0,2
ANSL_67472,2016-07-10 00:00:00,2016-10-06 18:40:00,1.0,Orange Tabby,0.03,8.12,0,1,0.0,1
ANSL_61924,2017-11-17 00:00:00,2018-06-19 14:48:00,0.0,Tan,0.18,26.67,0,1,1.0,2
ANSL_57027,2018-11-07 00:00:00,2019-02-09 17:06:00,0.0,Torbie,0.04,13.85,0,1,1.0,1
ANSL_63245,2014-03-23 00:00:00,2018-04-13 15:38:00,1.0,Black,0.08,29.65,0,7,0.0,2
ANSL_67439,2018-06-23 00:00:00,2019-01-16 15:20:00,2.0,White,0.2,32.09,13,9,0.0,2
ANSL_61569,2015-10-22 00:00:00,2017-05-21 12:01:00,2.0,Black,0.15,31.43,0,7,0.0,2
ANSL_66720,2017-10-26 00:00:00,2018-12-14 19:15:00,1.0,Brown Brindle,0.63,22.83,0,1,0.0,2
ANSL_69437,2017-07-16 00:00:00,2018-01-09 13:02:00,1.0,Blue,0.9,24.96,7,1,0.0,1
ANSL_65204,2016-07-21 00:00:00,2016-09-17 13:31:00,2.0,Black,0.81,43.14,13,9,0.0,1
ANSL_60534,2017-07-13 00:00:00,2018-03-05 15:44:00,0.0,Gold,0.36,15.45,0,1,1.0,2
ANSL_71253,2016-12-19 00:00:00,2018-06-12 12:21:00,0.0,Brown Tabby,0.49,7.78,13,9,1.0,1
ANSL_61331,2018-06-07 00:00:00,2018-07-28 14:40:00,2.0,Black,0.27,12.54,13,9,0.0,1
ANSL_59868,2016-02-04 00:00:00,2018-04-29 16:38:00,,Brown,0.97,46.19,0,3,2.0,4
ANSL_64532,2017-06-30 00:00:00,2017-10-11 00:00:00,2.0,Calico Point,0.53,20.28,9,5,1.0,1
ANSL_59797,2011-12-28 00:00:00,2019-01-18 09:36:00,1.0,White,0.4,47.42,0,7,0.0,2
ANSL_50355,2014-05-21 00:00:00,2017-06-11 18:13:00,1.0,Blue Merle,0.04,45.23,0,7,0.0,2
ANSL_61861,2006-03-04 00:00:00,2019-04-01 11:36:00,0.0,Brown Tabby,0.77,27.39,0,7,1.0,1
ANSL_75174,2018-06-20 00:00:00,2018-10-16 11:00:00,0.0,Blue,0.19,26.1,13,9,1.0,1
ANSL_65618,2012-11-29 00:00:00,2018-03-04 00:00:00,1.0,Blue Merle,0.5,12.22,0,7,0.0,2
ANSL_71574,2016-04-09 00:00:00,2018-06-01 18:36:00,0.0,Brown Brindle,0.9,48.26,0,1,1.0,2
ANSL_61677,2018-06-26 00:00:00,2018-10-29 18:00:00,1.0,Blue Tabby,0.3,31.37,7,1,0.0,1
ANSL_60315,2017-07-13 00:00:00,2018-09-24 18:40:00,0.0,Blue Tabby,0.91,27.96,0,1,1.0,1
ANSL_58968,2016-08-22 00:00:00,2016-11-22 15:31:00,0.0,Tortie,1.0,27.77,0,1,1.0,1
ANSL_75417,2019-01-23 00:00:00,2019-04-08 18:26:00,1.0,Tan,0.53,22.5,7,1,0.0,2
ANSL_67786,2012-06-25 00:00:00,2016-07-23 11:55:00,0.0,White,0.49,18.86,13,9,1.0,2
ANSL_64363,2016-11-22 00:00:00,2018-12-12 00:00:00,2.0,Black,0.48,12.48,2,4,0.0,1
ANSL_69159,2011-11-11 00:00:00,2016-12-04 17:59:00,0.0,White,0.73,9.2,0,7,1.0,2
ANSL_64748,2016-09-18 00:00:00,2017-10-09 17:26:00,0.0,White,0.21,47.6,0,7,1.0,2
ANSL_59733,2017-09-06 00:00:00,2018-10-01 15:51:00,2.0,Black,0.91,41.92,13,9,1.0,2
ANSL_66903,2013-07-31 00:00:00,2016-08-22 11:04:00,0.0,Black,0.69,41.93,0,7,1.0,2
ANSL_70167,2016-02-17 00:00:00,2017-07-07 18:08:00,0.0,Orange Tabby,0.06,33.95,7,1,1.0,1
ANSL_60808,2016-10-04 00:00:00,2017-01-27 12:38:00,1.0,Brown Tabby,0.37,26.27,0,1,0.0,1
ANSL_50064,2018-01-05 00:00:00,2019-01-27 16:02:00,1.0,Orange Tabby,0.47,7.59,0,7,0.0,1
ANSL_73811,2016-10-24 00:00:00,2017-02-07 14:33:00,1.0,Brown Tabby,0.88,44.54,0,1,0.0,1
ANSL_71122,2016-01-11 00:00:00,2018-02-13 19:04:00,1.0,Black,0.09,29.71,0,7,0.0,2
ANSL_57006,2016-02-03 00:00:00,2018-03-29 11:37:00,1.0,Tan,0.87,20.66,0,1,0.0,2
ANSL_59199,2018-01-12 00:00:00,2018-06-01 17:20:00,1.0,Orange Tabby,0.66,23.94,7,1,0.0,1
ANSL_58890,2014-09-29 00:00:00,2018-10-20 16:14:00,1.0,White,0.64,41.35,0,7,0.0,2
ANSL_57463,2011-11-23 00:00:00,2016-12-17 13:14:00,2.0,Tricolor,0.51,13.5,13,9,1.0,2
ANSL_63374,2014-08-23 00:00:00,2016-10-12 10:22:00,2.0,Red Merle,0.29,6.67,13,9,0.0,2
ANSL_60951,2006-06-07 00:00:00,2018-07-09 09:53:00,0.0,Black,0.04,9.82,0,7,1.0,2
ANSL_63454,2017-11-02 00:00:00,2018-01-17 10:44:00,2.0,Black Tabby,0.16,8.04,7,1,0.0,1
ANSL_73065,2017-09-10 00:00:00,2017-12-08 16:06:00,2.0,Brown Tabby,0.61,39.88,0,1,1.0,1
ANSL_72681,2007-09-26 00:00:00,2016-10-17 10:07:00,2.0,Brown,0.66,18.9,18,4,1.0,2
ANSL_60874,2017-07-09 00:00:00,2017-11-20 12:53:00,0.0,Orange Tabby,0.15,36.78,0,1,1.0,1
ANSL_51360,2016-02-18 00:00:00,2017-03-19 15:23:00,1.0,Black,0.19,25.17,0,1,0.0,2
ANSL_50693,2017-08-04 00:00:00,2017-11-04 12:03:00,,Black,0.73,29.2,0,4,2.0,4
ANSL_59052,2016-01-30 00:00:00,2016-09-08 15:33:00,2.0,White,0.49,5.36,13,9,1.0,2
ANSL_51733,2018-08-13 00:00:00,2018-12-09 19:01:00,1.0,Blue,0.33,17.73,0,1,0.0,1
ANSL_51044,2012-04-14 00:00:00,2017-05-23 15:26:00,1.0,Black,0.73,35.55,0,1,0.0,1
ANSL_52522,2016-07-07 00:00:00,2016-08-24 18:49:00,,Orange Tabby,0.87,16.35,13,9,2.0,1
ANSL_56453,2010-03-27 00:00:00,2016-09-30 16:18:00,1.0,Tan,0.63,30.38,0,7,0.0,2
ANSL_53286,2016-11-18 00:00:00,2017-04-16 12:45:00,2.0,Brown Tabby,0.09,31.36,18,4,0.0,1
ANSL_74473,2017-07-23 00:00:00,2018-03-04 00:00:00,1.0,Orange Tabby,0.24,12.49,13,9,0.0,1
ANSL_55528,2016-07-07 00:00:00,2017-09-28 14:19:00,0.0,Black,0.0,17.1,0,1,1.0,2
ANSL_75495,2019-03-13 00:00:00,2019-04-10 16:11:00,2.0,White,0.9,35.86,13,9,0.0,2
ANSL_59681,2016-01-19 00:00:00,2017-11-15 12:15:00,1.0,Red,0.06,43.61,7,1,0.0,2
ANSL_66966,2015-12-17 00:00:00,2017-01-21 18:49:00,0.0,Tan,0.42,19.77,0,1,1.0,2
ANSL_69802,2017-01-28 00:00:00,2018-04-24 18:42:00,1.0,Fawn,0.12,25.23,0,1,0.0,2
ANSL_58527,2016-07-10 00:00:00,2016-10-28 17:43:00,0.0,Tortie,0.33,32.86,0,1,1.0,1
ANSL_69588,2016-04-12 00:00:00,2018-05-04 09:00:00,2.0,Tortie,0.26,31.88,16,9,1.0,1
ANSL_58694,2017-10-29 00:00:00,2018-02-06 18:00:00,2.0,Calico,0.96,45.54,0,1,1.0,1
ANSL_76255,2016-02-27 00:00:00,2019-04-28 18:27:00,0.0,Buff,0.62,47.82,0,1,1.0,2
ANSL_50371,2013-03-29 00:00:00,2016-08-28 11:33:00,1.0,White,0.9,35.33,0,7,0.0,2
ANSL_54477,2018-11-08 00:00:00,2019-03-06 12:37:00,2.0,Brown Tabby,0.1,33.83,17,9,1.0,1
ANSL_60025,2016-05-24 00:00:00,2016-11-26 18:16:00,1.0,Brown Tabby,0.85,34.59,0,1,0.0,1
ANSL_52937,2012-01-06 00:00:00,2017-02-03 13:32:00,1.0,Blue,0.56,15.28,13,9,0.0,1
ANSL_72533,2015-06-24 00:00:00,2017-09-08 00:00:00,1.0,Black,0.47,30.8,0,7,0.0,2
ANSL_64086,2018-06-15 00:00:00,2018-10-10 15:27:00,1.0,Black,0.08,8.46,17,9,0.0,1
ANSL_53396,2016-11-10 00:00:00,2017-12-08 12:46:00,0.0,Yellow,0.45,35.76,0,7,1.0,2
ANSL_76691,2019-01-12 00:00:00,2019-05-08 10:56:00,0.0,Black,0.54,15.61,7,1,1.0,1
ANSL_73579,2016-03-12 00:00:00,2017-02-20 12:08:00,0.0,White,0.06,41.49,13,9,1.0,2
ANSL_52510,2016-06-03 00:00:00,2017-10-15 14:27:00,1.0,White,0.15,28.19,0,7,0.0,2
ANSL_76166,2019-01-23 00:00:00,2019-04-27 12:11:00,1.0,Black,0.87,25.13,7,1,0.0,2
ANSL_52580,2013-02-08 00:00:00,2017-03-09 15:40:00,1.0,Black,0.63,46.43,0,1,0.0,2
ANSL_71686,2017-01-02 00:00:00,2017-06-27 14:35:00,2.0,Black,0.81,12.33,13,9,0.0,2
ANSL_72491,2016-11-05 00:00:00,2017-02-20 09:26:00,1.0,Cream Tabby,0.28,46.19,7,1,0.0,1
ANSL_74884,2018-12-17 00:00:00,2019-03-27 16:35:00,1.0,Cream Tabby,0.95,35.16,0,1,0.0,1
ANSL_62012,2017-10-29 00:00:00,2018-03-10 17:36:00,0.0,Cream Tabby,0.6,34.45,0,1,1.0,1
ANSL_63508,2018-06-13 00:00:00,2018-12-10 17:36:00,0.0,White,0.53,9.0,0,7,1.0,2
ANSL_76016,2018-12-28 00:00:00,2019-04-23 17:07:00,1.0,Tan,0.53,47.79,0,1,0.0,2
ANSL_71410,2015-08-05 00:00:00,2016-11-07 11:40:00,0.0,Brown Brindle,0.62,41.68,13,9,1.0,2
ANSL_73201,2015-11-15 00:00:00,2016-12-10 18:13:00,1.0,White,0.96,32.02,0,1,0.0,2
ANSL_75627,2019-02-19 00:00:00,2019-04-13 12:35:00,2.0,Brown,0.69,29.85,13,9,1.0,2
ANSL_52039,2014-07-05 00:00:00,2018-01-29 17:22:00,1.0,Gold,0.31,12.21,0,1,0.0,2
ANSL_71606,2016-12-15 00:00:00,2018-01-16 19:04:00,1.0,Tan,0.83,17.07,0,1,0.0,2
ANSL_64617,2017-07-04 00:00:00,2018-10-08 17:39:00,1.0,Yellow,0.3,49.38,0,1,0.0,2
ANSL_58135,2014-07-29 00:00:00,2017-03-26 13:28:00,1.0,White,0.07,36.77,0,7,0.0,2
ANSL_58561,2016-04-23 00:00:00,2017-05-27 00:00:00,0.0,Black,0.78,40.17,13,9,1.0,2
ANSL_60859,2011-06-07 00:00:00,2017-02-02 15:55:00,1.0,Lynx Point,0.41,38.73,0,1,0.0,1
ANSL_55466,2012-02-29 00:00:00,2018-03-19 18:22:00,0.0,Black,0.61,37.27,0,7,1.0,2
ANSL_54562,2015-01-08 00:00:00,2019-02-23 18:53:00,0.0,Black,0.29,31.53,0,1,1.0,2
ANSL_51578,2018-11-13 00:00:00,2019-02-03 18:19:00,1.0,Gray,0.79,33.12,0,1,0.0,1
ANSL_60650,2017-01-06 00:00:00,2017-03-20 14:15:00,2.0,Black,0.96,30.64,13,9,1.0,2
ANSL_65469,2017-08-31 00:00:00,2018-05-21 13:04:00,0.0,Brown Brindle,0.86,22.95,0,1,1.0,2
ANSL_58680,2017-09-14 00:00:00,2018-03-09 14:16:00,1.0,Blue Tabby,0.41,22.76,0,1,0.0,1
ANSL_54191,2015-01-07 00:00:00,2018-05-13 17:28:00,1.0,Blue,0.65,29.95,0,1,0.0,2
ANSL_52842,2004-12-15 00:00:00,2017-01-21 18:22:00,0.0,Black,0.55,35.53,0,1,1.0,2
ANSL_59063,2006-03-20 00:00:00,2017-04-16 14:53:00,1.0,Orange Tabby,0.97,27.9,0,1,0.0,1
ANSL_69493,2016-08-10 00:00:00,2016-10-21 16:32:00,2.0,Black,0.85,32.17,18,4,0.0,1
ANSL_59822,2018-05-11 00:00:00,2018-09-22 17:22:00,0.0,Brown,0.0,20.55,0,1,1.0,2
ANSL_63256,2017-07-22 00:00:00,2017-10-19 17:42:00,1.0,Black,0.56,43.07,7,1,0.0,1
ANSL_52194,2007-06-30 00:00:00,2017-06-02 12:29:00,1.0,Tan,0.93,13.47,0,7,0.0,2
ANSL_65838,2016-12-11 00:00:00,2018-07-13 14:25:00,1.0,Black,0.73,44.25,13,9,0.0,1
ANSL_57438,2016-03-04 00:00:00,2017-11-03 17:46:00,1.0,Tan,0.05,39.86,0,1,0.0,2
ANSL_59684,2012-07-19 00:00:00,2018-12-16 17:08:00,1.0,Black,0.71,28.59,0,7,0.0,2
ANSL_63003,2009-03-25 00:00:00,2017-05-16 12:29:00,1.0,Black,0.2,41.9,0,1,0.0,2
ANSL_62671,2017-09-02 00:00:00,2017-12-10 18:11:00,0.0,Brown Tabby,0.08,49.17,0,1,1.0,1
ANSL_72296,2006-12-08 00:00:00,2018-02-18 10:45:00,1.0,Buff,0.21,38.8,0,7,0.0,2
ANSL_67459,2015-07-09 00:00:00,2017-01-29 17:00:00,2.0,Black,0.15,39.21,0,7,1.0,2
