Offered_By,Category,Rating,Reviews,Size,Price,Content_Rating,Last_Updated_On,Release_Version,OS_Version_Required,Downloads
ps_id-6732,Productivity,4.6,27135,Varies with device,372.1542,Everyone,Jun 28 2019,Varies with device,Varies with device,"100,000+"
ps_id-12026,Medical,4.5,199,1.8M,894.2142,Everyone,Aug 01 2019,3.0.5,4.4w and up,"10,000+"
ps_id-20922,Game Board,4.38,30007,23M,Free,Everyone,Nov 22 2019,1.4.9,4.0 and up,"1,000,000+"
ps_id-30504,Education,4.23,4597,13M,Free,Everyone,Mar 18 2020,39,4.0.3 and up,"1,000,000+"
ps_id-31136,Finance,4.7,20036,13M,Free,Everyone,Apr 29 2020,4.2.1,4.1 and up,"500,000+"
ps_id-30225,Tools,4.68,41,6.6M,Free,Everyone,Feb 04 2020,4,4.1 and up,"10,000+"
ps_id-28354,Game,4.2,1343866,56M,Free,Teen,Sep 05 2019,1.180271.184729,4.0 and up,"10,000,000+"
ps_id-9648,Lifestyle,4.89,3665,13M,Free,Everyone,Jan 25 2020,2.2.0,4.4 and up,"50,000+"
ps_id-17159,Business,4.28,1845,58M,Free,Everyone,Apr 30 2020,7.15.11,5.0 and up,"100,000+"
ps_id-24214,Finance,4.59,32,20M,Free,Everyone,Jan 21 2020,1.0.10,4.0 and up,"5,000+"
ps_id-34743,Tools,3.14,42,18M,Free,Everyone,Jan 08 2019,1.6,3.0 and up,"10,000+"
ps_id-31377,Dating,4.04,18277,49M,Free,Mature 17+,Jan 17 2020,4.6.0,4.0.3 and up,"1,000,000+"
ps_id-5429,Music And Audio,4.19,36,5.7M,Free,Everyone,Dec 17 2016,1,4.0 and up,"5,000+"
ps_id-9521,Personalization,4.6,4724,5.4M,Free,Everyone,Sep 03 2019,1.2,4.0.3 and up,"1,000,000+"
ps_id-2015,Finance,3.6,903,21M,Free,Everyone,Apr 21 2020,7.2.1150.2.717,4.2 and up,"100,000+"
ps_id-17094,Photography,4.5,12572,8.5M,Free,Everyone,Apr 18 2019,1.31,4.0 and up,"1,000,000+"
ps_id-34609,Books And Reference,4.75,12,4.8M,Free,Everyone,Nov 15 2019,1.4,4.4 and up,"1,000+"
ps_id-1261,Books And Reference,4.68,84,2.2M,Free,Everyone,Sep 15 2018,1,4.0 and up,"10,000+"
ps_id-34180,Game Casual,4.56,26729,13M,Free,Everyone,Mar 07 2020,1.16,4.0 and up,"5,000,000+"
ps_id-14721,Personalization,4.12,4751,6.8M,Free,Everyone,Mar 26 2020,1.7c.free,4.4 and up,"1,000,000+"
ps_id-4445,Photography,4.65,19631,21M,Free,Everyone,May 06 2020,2.1,4.2 and up,"1,000,000+"
ps_id-34342,Productivity,4.41,2020,2.2M,Free,Everyone,Dec 09 2017,1.1.2,4.1 and up,"500,000+"
ps_id-1379,Music And Audio,4.7,47,77M,Free,Everyone,Feb 05 2020,1,4.1 and up,"5,000+"
ps_id-24729,Communication,4.4,2473509,Varies with device,Free,Everyone,Sep 04 2019,47.1.2249.129326,Varies with device,"100,000,000+"
ps_id-8667,Finance,3.06,5924,13M,Free,Everyone,Apr 08 2020,17.4.0,4.1 and up,"500,000+"
ps_id-15093,Game Casual,4.16,108,36M,Free,Everyone,Feb 04 2020,1.02,4.1 and up,"10,000+"
ps_id-14598,Comics,4.6,245,25M,Free,Teen,Apr 13 2020,1.2.4,5.0 and up,"50,000+"
ps_id-29818,Game Arcade,4.38,601284,89M,Free,Everyone,Sep 18 2019,2.9,4.1 and up,"10,000,000+"
ps_id-21617,Shopping,3.51,327,3.8M,Free,Everyone,Apr 12 2020,2.6,4.0.3 and up,"50,000+"
ps_id-10733,Personalization,4.2,25807,5.5M,Free,Everyone,Dec 03 2018,15.0,4.1 and up,"1,000,000+"
ps_id-8133,Tools,4.56,3944,2.7M,Free,Everyone,Apr 27 2020,1.7.7,4.2 and up,"500,000+"
ps_id-32141,Business,1.33,9,2.6M,Free,Everyone,Oct 25 2019,1.1,5.0 and up,"1,000+"
ps_id-15756,Game Trivia,4.32,7389,25M,Free,Everyone 10+,May 05 2020,3.8.3,4.1 and up,"500,000+"
ps_id-13634,Game Role Playing,4.34,2211,Varies with device,Free,Everyone 10+,Apr 27 2020,1.7.4,4.1 and up,"100,000+"
ps_id-32380,Education,4.63,439,23M,Free,Everyone,Dec 17 2019,1.3,4.0 and up,"10,000+"
ps_id-15904,Books And Reference,4.9,10,5.2M,Free,Everyone,Jan 29 2020,1.3,4.4 and up,"1,000+"
ps_id-4832,Tools,4.9,83,3.1M,297.5742,Everyone,Jul 06 2019,2.0.0,5.0 and up,500+
ps_id-21061,Game Casual,4.4,67234,31M,Free,Everyone,Feb 21 2020,3.0.2,4.0.3 and up,"5,000,000+"
ps_id-20594,Social,4.0,852455,68M,Free,Mature 17+,Sep 07 2019,27.0,4.2 and up,"10,000,000+"
ps_id-28028,Music And Audio,4.47,17,5.6M,Free,Everyone,Feb 27 2020,1.2,4.4 and up,"10,000+"
ps_id-24610,Game Puzzle,4.24,89,20M,Free,Everyone,Mar 13 2020,1,4.1 and up,"100,000+"
ps_id-36048,Game,4.8,230710,87M,Free,Everyone,Sep 06 2019,1.0.47,4.1 and up,"10,000,000+"
ps_id-21529,Game Role Playing,4.61,911,5.2M,372.1542,Teen,Dec 12 2019,1.1.1,4.0 and up,"5,000+"
ps_id-32955,Medical,4.33,6,20M,Free,Everyone,Mar 04 2020,1.4,4.3 and up,"1,000+"
ps_id-9569,Family,3.4,12,11M,Free,Everyone,Oct 20 2018,1.5_6,4.0 and up,"1,000+"
ps_id-32716,Social,4.3,1716,13M,Free,Mature 17+,Apr 16 2020,5.10.1,4.1 and up,"100,000+"
ps_id-33580,Business,4.87,470,4.6M,Free,Everyone,Aug 29 2017,1.1.2,2.3 and up,"50,000+"
ps_id-21966,Productivity,4.4,480640,Varies with device,Free,Everyone,Aug 26 2019,16.0.10325.20024,4.4 and up,"100,000,000+"
ps_id-16103,Communication,4.86,429,7.9M,Free,Everyone,Dec 27 2019,1.3.1,5.0 and up,"10,000+"
ps_id-2218,Game Educational,3.89,3260,16M,Free,Everyone,May 06 2020,2.0.6,4.4 and up,"1,000,000+"
ps_id-18653,Lifestyle,4.13,13870,3.8M,Free,Everyone,Jan 04 2020,1.1.27,2.3 and up,"1,000,000+"
ps_id-6486,Video Players,3.5,54,186k,Free,Everyone,May 27 2014,1.0,2.2 and up,"10,000+"
ps_id-15065,Game Strategy,3.94,751,29M,Free,Everyone 10+,Nov 26 2019,1.0.1,4.0 and up,"10,000+"
ps_id-5572,Game Puzzle,4.23,890,33M,Free,Everyone,Jan 29 2020,2.7,4.1 and up,"100,000+"
ps_id-19235,Medical,4.8,6874,48M,Free,Everyone,May 05 2020,3.0.3,5.0 and up,"100,000+"
ps_id-23250,Entertainment,4.36,224319,21M,Free,Mature 17+,May 05 2020,3.6.5,4.4 and up,"5,000,000+"
ps_id-24859,Lifestyle,4.32,71325,12M,Free,Everyone,May 06 2020,2.22.0,4.0.3 and up,"1,000,000+"
ps_id-5614,Medical,3.5,250,23M,Free,Everyone,Aug 13 2019,1.2.0,4.4 and up,"100,000+"
ps_id-30391,Education,4.21,1022,11M,446.7342,Everyone,Apr 17 2017,3.5,3.0 and up,"10,000+"
ps_id-14006,Photography,4.3,13258,Varies with device,Free,Everyone,Jul 25 2019,2.3.0 build 180,5.0 and up,"1,000,000+"
ps_id-4699,Finance,3.71,15476,64M,Free,Everyone,Apr 30 2020,3.27.3,5.0 and up,"1,000,000+"
ps_id-10643,Tools,4.35,409,1.2M,Free,Everyone,Jul 03 2017,1.3,4.0.3 and up,"10,000+"
ps_id-5782,Personalization,4.1,285,3.9M,Free,Teen,Nov 07 2018,5.0,2.3 and up,"50,000+"
ps_id-23409,Video Players,4.21,13398,Varies with device,Free,Teen,Jan 18 2020,Varies with device,Varies with device,"1,000,000+"
ps_id-22499,Entertainment,4.1,1605,82M,Free,Everyone,Apr 29 2020,6,4.0 and up,"1,000,000+"
ps_id-35788,Lifestyle,3.54,24,Varies with device,Free,Everyone,Oct 04 2015,Varies with device,Varies with device,"10,000+"
ps_id-22314,Business,2.19,11657,Varies with device,Free,Everyone,Apr 29 2020,Varies with device,Varies with device,"1,000,000+"
ps_id-26103,Music And Audio,4.59,605260,15M,Free,Everyone,Apr 06 2020,5,4.1 and up,"10,000,000+"
ps_id-4910,Sports,4.24,21290,Varies with device,Free,Everyone,May 07 2020,Varies with device,Varies with device,"1,000,000+"
ps_id-31306,Finance,4.27,619,5.6M,Free,Everyone,Jan 20 2020,3.1,4.0 and up,"100,000+"
ps_id-7545,House And Home,4.13,2539,34M,Free,Everyone,May 02 2020,1.7.7,4.4 and up,"100,000+"
ps_id-3427,Game Puzzle,4.13,1560,11M,Free,Everyone,Jan 30 2020,5.4,4.1 and up,"100,000+"
ps_id-16511,Books And Reference,4.32,3554,8.3M,Free,Everyone,Feb 19 2020,2,4.4 and up,"1,000,000+"
ps_id-22255,Entertainment,3.53,2937,17M,Free,Everyone,Jan 27 2020,1.17.42,4.0.3 and up,"500,000+"
ps_id-16839,Personalization,4.47,17398,8.1M,Free,Everyone,Sep 20 2018,1.8.0.1807,4.0.3 and up,"1,000,000+"
ps_id-11624,Shopping,4.54,45278,34M,Free,Everyone,May 06 2020,5.5.0,4.4 and up,"5,000,000+"
ps_id-36472,Shopping,4.31,1356,11M,Free,Teen,May 05 2020,5.3.0,4.3 and up,"500,000+"
ps_id-36431,Game,4.5,10055521,94M,Free,Everyone,Aug 02 2019,1_39_93,4.0.3 and up,"100,000,000+"
ps_id-30075,Food And Drink,3.52,4052,23M,Free,Everyone,Mar 19 2020,4.0.1,4.4 and up,"500,000+"
ps_id-10353,News And Magazines,1.78,118,68M,Free,Teen,Dec 07 2019,3.0.126.103,4.1 and up,"10,000+"
ps_id-36358,Game Board,4.26,82155,88M,Free,Everyone,Apr 22 2020,6.2.2,4.1 and up,"5,000,000+"
ps_id-16443,Video Players,4.18,170611,12M,Free,Everyone,Apr 16 2020,2.1.0,4.1 and up,"10,000,000+"
ps_id-30435,Game Strategy,4.51,21342,73M,Free,Teen,Apr 17 2020,1.1.0.5,4.4 and up,"1,000,000+"
ps_id-31417,Photography,4.21,3334,Varies with device,Free,Everyone,Apr 23 2020,Varies with device,Varies with device,"500,000+"
ps_id-27712,Game,4.2,93608,Varies with device,Free,Everyone,Mar 16 2019,Varies with device,Varies with device,"10,000,000+"
ps_id-9046,Game Casual,3.53,1121,5.6M,Free,Everyone,Dec 18 2019,1.0.9,2.3 and up,"100,000+"
ps_id-10167,Productivity,4.74,31,140k,Free,Everyone,Dec 15 2015,1.32,4.0 and up,100+
ps_id-7827,Game Casual,4.2,126239,94M,Free,Everyone,Nov 15 2019,8.8,2.3.3 and up,"1,000,000+"
ps_id-19575,Education,4.6,25,5.6M,Free,Everyone,Apr 08 2020,1.004,4.1 and up,"1,000+"
ps_id-18976,Video Players,4.5,1013867,32M,Free,Everyone,Sep 07 2019,4.5.0.10701.gp,4.1 and up,"50,000,000+"
ps_id-16063,Social,4.58,130,13M,Free,Everyone,Feb 18 2019,1.02,4.1 and up,"10,000+"
ps_id-18397,Communication,4.67,49745,10M,Free,Everyone,Aug 10 2018,2.1.4,2.3 and up,"1,000,000+"
ps_id-6171,Photography,4.38,1072743,Varies with device,Free,Everyone,Dec 03 2019,Varies with device,Varies with device,"100,000,000+"
ps_id-13757,Game Sports,4.13,3414,87M,Free,Everyone,May 02 2020,1.3.8_1,4.4 and up,"500,000+"
ps_id-25871,Personalization,3.7,10796,6.8M,Free,Everyone,Aug 10 2019,6.7.5,4.0.3 and up,"1,000,000+"
ps_id-6346,Sports,4.44,3008,3.4M,Free,Everyone,Apr 08 2020,2.3.2,4.0 and up,"100,000+"
ps_id-15997,Tools,5.0,3,1.5M,Free,Everyone,Aug 06 2019,2.8.0,5.1 and up,100+
ps_id-23890,Auto And Vehicles,4.1,4721,3.0M,Free,Everyone,Apr 21 2020,5.8.13,5.0 and up,"100,000+"
ps_id-13866,Travel And Local,3.18,678,15M,Free,Everyone,Apr 16 2020,2.2.66,4.1 and up,"100,000+"
ps_id-6236,Tools,4.39,2750,8.4M,Free,Everyone,Feb 12 2020,3.2.4,3.0 and up,"100,000+"
ps_id-12662,Productivity,4.0,4660,5.9M,Free,Everyone,Nov 10 2017,1.0,4.0 and up,"1,000,000+"
ps_id-29319,Game Action,3.89,1685,50M,Free,Teen,May 07 2020,1.8,4.0.3 and up,"1,000,000+"
ps_id-28613,Business,4.15,20981,45M,Free,Everyone,May 01 2020,18.1,5.0 and up,"1,000,000+"
ps_id-24215,Events,5.0,2,58M,Free,Everyone,Mar 31 2020,5.42,6.0 and up,100+
ps_id-28805,Finance,3.74,4904,Varies with device,Free,Everyone,Apr 16 2020,Varies with device,Varies with device,"1,000,000+"
ps_id-884,Shopping,4.75,13756,8.5M,Free,Everyone,Apr 24 2020,V2.7.3,4.0.3 and up,"500,000+"
ps_id-24042,Books And Reference,3.12,658,29M,Free,Everyone,Jan 04 2020,2.4,4.0.3 and up,"100,000+"
ps_id-14120,Medical,4.4,463,25M,Free,Everyone,Apr 22 2020,2.3.2.470,4.4 and up,"50,000+"
ps_id-24207,Entertainment,3.16,23457,12M,Free,Teen,Apr 29 2020,5.42.5,4.3 and up,"1,000,000+"
ps_id-17349,Lifestyle,4.36,156,14M,Free,Everyone,Jan 25 2020,0.1.8,4.1 and up,"10,000+"
ps_id-7974,Entertainment,4.34,437,3.0M,Free,Everyone,Oct 30 2019,1.4.6,4.1 and up,"100,000+"
ps_id-30228,Education,4.59,54368,5.4M,Free,Everyone,Jul 12 2019,1.8.1,4.1 and up,"1,000,000+"
ps_id-28117,Game,4.4,30,47M,Free,Everyone,Aug 06 2019,1.1,4.1 and up,"5,000+"
ps_id-4600,Finance,3.96,29427,20M,Free,Everyone,Apr 19 2020,0.6.6,4.4 and up,"5,000,000+"
ps_id-33855,Entertainment,4.19,435,3.3M,Free,Everyone,Apr 28 2020,5,4.1 and up,"100,000+"
ps_id-33117,Medical,4.34,32,2.3M,670.4742,Everyone,May 05 2020,2.0.8,2.3 and up,500+
ps_id-29011,Medical,3.83,826,75M,Free,Everyone,Apr 22 2020,3.5.1,4.4 and up,"100,000+"
ps_id-30667,Game Arcade,3.95,41716,53M,Free,Everyone,Mar 25 2020,1.4.9,4.4 and up,"10,000,000+"
ps_id-8589,Tools,4.17,477067,Varies with device,Free,Everyone,Jan 18 2019,Varies with device,Varies with device,"50,000,000+"
ps_id-5707,Game,3.7,11,4.8M,Free,Everyone,Jun 25 2019,6.2-begina,4.0 and up,"5,000+"
ps_id-12516,News And Magazines,4.7,273,6.3M,Free,Everyone,Sep 11 2019,2.9.0,4.1 and up,"10,000+"
ps_id-4695,Finance,3.52,423,8.9M,Free,Everyone,Apr 10 2020,2.0.1,4.4 and up,"50,000+"
ps_id-21702,Communication,3.85,329,6.6M,Free,Mature 17+,Apr 13 2020,1.4,4.0.3 and up,"500,000+"
ps_id-29238,Communication,3.74,24240,5.1M,Free,Everyone,Jun 09 2018,2.3.1,4.1 and up,"1,000,000+"
ps_id-18479,Education,4.88,8,Varies with device,745.0542,Everyone,Apr 26 2020,1,5.0 and up,100+
ps_id-26632,Game Educational,4.19,81204,88M,Free,Everyone,Dec 24 2019,1.4,4.1 and up,"10,000,000+"
ps_id-12879,Health And Fitness,3.84,51,11M,Free,Everyone,Mar 28 2020,8.1.6,4.1 and up,"10,000+"
ps_id-19799,Education,4.45,754,7.1M,Free,Everyone,Mar 21 2020,1.5,4.2 and up,"100,000+"
ps_id-6872,Health And Fitness,4.49,3346,49M,222.9942,Everyone,Mar 20 2020,107.9,6.0 and up,"50,000+"
ps_id-9042,Travel And Local,4.4,61776,Varies with device,Free,Teen,Aug 14 2019,Varies with device,Varies with device,"1,000,000+"
ps_id-5937,Medical,4.7,8348,2.6M,Free,Everyone,May 18 2019,1.4.6,4.0 and up,"500,000+"
ps_id-6351,Finance,3.18,6236,16M,Free,Everyone,Mar 27 2020,2.5.6,4.4 and up,"100,000+"
ps_id-7800,Social,3.6,40,1.5M,Free,Everyone,Mar 24 2018,4.4,4.2 and up,"5,000+"
ps_id-36227,Health And Fitness,4.0,32,64M,Free,Everyone,Jun 24 2018,3.9,4.1 and up,"5,000+"
ps_id-32479,Communication,4.32,589,9.3M,Free,Everyone,Jan 11 2020,3,4.0.3 and up,"100,000+"
ps_id-19451,Game Puzzle,4.37,389,8.6M,Free,Everyone,Dec 28 2019,1.10.0,4.0.3 and up,"50,000+"
ps_id-1028,Education,4.14,29,26M,Free,Everyone,May 31 2017,1.0.8,2.3 and up,"1,000+"
ps_id-18167,Education,4.68,2120,6.1M,Free,Everyone,Mar 10 2020,1.5,4.1 and up,"100,000+"
ps_id-30551,Game Adventure,4.12,2524,2.5M,Free,Everyone,Aug 29 2017,1.34,2.3 and up,"100,000+"
ps_id-20654,Parenting,4.77,12149,47M,Free,Everyone,Apr 04 2020,2.4,4.0.3 and up,"1,000,000+"
ps_id-18339,Entertainment,4.51,103,6.5M,Free,Mature 17+,May 06 2020,1.3,4.1 and up,"5,000+"
ps_id-32189,Game Board,4.53,2769,8.6M,Free,Everyone,Mar 21 2020,12.1.0,4.0 and up,"100,000+"
ps_id-32204,Education,3.8,715,19M,Free,Everyone,Apr 07 2020,1.3.3,5.0 and up,"100,000+"
ps_id-7966,Music And Audio,4.93,365,63M,Free,Everyone,Dec 22 2019,1422,4.4 and up,"1,000+"
ps_id-30727,Sports,4.13,1736,13M,Free,Everyone,Apr 17 2020,1.43,4.4 and up,"100,000+"
ps_id-24795,Education,4.55,785,7.2M,Free,Everyone,Nov 04 2019,1.5,4.2 and up,"100,000+"
ps_id-1191,Travel And Local,4.29,105,8.2M,Free,Everyone,Mar 03 2020,2.0.21,4.2 and up,"10,000+"
ps_id-31212,Dating,3.5,13202,6.1M,Free,Mature 17+,Aug 11 2019,2.4.1,4.1 and up,"1,000,000+"
ps_id-14072,House And Home,4.16,89813,20M,Free,Everyone,Apr 18 2020,7.10.0,5.0 and up,"1,000,000+"
