Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-12-26,0.84,0.84,0.76,0.76,0.78,312.0,3.0,242.0,312.0,100.0,0.08,-0.08
2016-12-22,0.8,0.8,0.8,0.8,0.8,2000.0,2.0,1600.0,2000.0,100.0,0.0,0.0
2016-12-21,0.88,0.88,0.8,0.8,0.8,1479.0,3.0,1189.0,1479.0,100.0,0.08,-0.08
2016-12-20,0.84,0.84,0.84,0.84,0.84,250.0,1.0,210.0,250.0,100.0,0.0,0.0
2016-12-14,0.88,0.88,0.88,0.88,0.88,700.0,1.0,616.0,700.0,100.0,0.0,0.0
2016-12-13,0.88,0.88,0.88,0.88,0.75,4.0,1.0,3.0,4.0,100.0,0.0,0.0
2016-12-12,0.88,0.89,0.88,0.89,0.88,100.0,2.0,88.0,100.0,100.0,0.01,0.01
2016-12-06,0.9,0.9,0.9,0.9,0.87,15.0,1.0,13.0,15.0,100.0,0.0,0.0
2016-12-05,0.9,0.9,0.9,0.9,0.9,500.0,2.0,450.0,500.0,100.0,0.0,0.0
2016-11-29,0.96,0.96,0.91,0.91,0.93,1104.0,4.0,1024.0,1104.0,100.0,0.05,-0.05
2016-11-28,0.96,0.96,0.95,0.95,0.95,12065.0,5.0,11492.0,12065.0,100.0,0.01,-0.01
2016-11-25,0.93,0.93,0.93,0.93,0.93,264.0,2.0,245.0,264.0,100.0,0.0,0.0
2016-11-24,0.93,0.93,0.92,0.92,0.92,89.0,2.0,82.0,89.0,100.0,0.01,-0.01
2016-11-23,0.9,0.9,0.9,0.9,0.89,65.0,1.0,58.0,65.0,100.0,0.0,0.0
2016-11-21,0.89,0.89,0.89,0.89,0.89,400.0,1.0,356.0,400.0,100.0,0.0,0.0
2016-11-18,0.92,0.92,0.9,0.9,0.92,182.0,3.0,167.0,182.0,100.0,0.02,-0.02
2016-11-17,0.94,0.94,0.86,0.9,0.89,2973.0,10.0,2638.0,2973.0,100.0,0.08,-0.04
2016-11-16,0.9,0.9,0.9,0.9,0.9,1069.0,2.0,962.0,1069.0,100.0,0.0,0.0
2016-11-15,0.92,0.92,0.86,0.86,0.88,171.0,4.0,150.0,171.0,100.0,0.06,-0.06
2016-11-11,0.9,0.9,0.9,0.9,0.9,69.0,1.0,62.0,69.0,100.0,0.0,0.0
2016-11-10,0.87,0.89,0.87,0.89,0.87,10191.0,5.0,8866.0,10191.0,100.0,0.02,0.02
2016-11-09,0.91,0.91,0.9,0.91,0.9,10001.0,6.0,9022.0,10001.0,100.0,0.01,0.0
2016-11-08,0.88,0.88,0.87,0.88,0.88,137.0,3.0,120.0,137.0,100.0,0.01,0.0
2016-11-07,0.91,0.91,0.84,0.84,0.85,3593.0,8.0,3066.0,3593.0,100.0,0.07,-0.07
2016-11-04,0.88,0.88,0.84,0.88,0.86,9239.0,22.0,7990.0,9239.0,100.0,0.04,0.0
2016-11-03,0.84,0.84,0.84,0.84,0.83,69.0,2.0,57.0,69.0,100.0,0.0,0.0
2016-11-02,0.8,0.8,0.77,0.8,0.79,285.0,4.0,224.0,285.0,100.0,0.03,0.0
2016-11-01,0.81,0.81,0.77,0.77,0.8,4239.0,6.0,3387.0,4239.0,100.0,0.04,-0.04
2016-10-25,0.78,0.78,0.78,0.78,0.77,87.0,1.0,67.0,87.0,100.0,0.0,0.0
2016-10-24,0.81,0.81,0.75,0.75,0.75,40165.0,5.0,30256.0,40165.0,100.0,0.06,-0.06
2016-10-21,0.78,0.78,0.78,0.78,0.78,6184.0,4.0,4823.0,6184.0,100.0,0.0,0.0
2016-10-20,0.77,0.77,0.76,0.76,0.76,384.0,2.0,292.0,384.0,100.0,0.01,-0.01
2016-10-19,0.8,0.8,0.74,0.74,0.78,15384.0,6.0,11993.0,15384.0,100.0,0.06,-0.06
2016-10-18,0.78,0.78,0.77,0.77,0.78,1218.0,4.0,948.0,1218.0,100.0,0.01,-0.01
2016-10-17,0.78,0.78,0.75,0.75,0.77,8000.0,2.0,6150.0,8000.0,100.0,0.03,-0.03
2016-10-14,0.72,0.78,0.72,0.78,0.77,5535.0,9.0,4247.0,5535.0,100.0,0.06,0.06
2016-10-07,0.74,0.75,0.74,0.75,0.75,5050.0,3.0,3773.0,5050.0,100.0,0.01,0.01
2016-10-06,0.72,0.72,0.72,0.72,0.72,50671.0,4.0,36483.0,50671.0,100.0,0.0,0.0
2016-10-05,0.71,0.71,0.71,0.71,0.71,2000.0,1.0,1420.0,2000.0,100.0,0.0,0.0
2016-10-04,0.7,0.7,0.68,0.68,0.7,27500.0,3.0,19200.0,27500.0,100.0,0.02,-0.02
2016-09-28,0.7,0.7,0.7,0.7,0.7,3000.0,4.0,2100.0,3000.0,100.0,0.0,0.0
2016-09-27,0.72,0.72,0.7,0.7,0.71,3994.0,5.0,2851.0,3994.0,100.0,0.02,-0.02
2016-09-26,0.69,0.69,0.69,0.69,0.69,90.0,1.0,62.0,90.0,100.0,0.0,0.0
2016-09-23,0.66,0.66,0.6,0.66,0.66,2055.0,7.0,1350.0,2055.0,100.0,0.06,0.0
2016-09-22,0.57,0.63,0.57,0.63,0.57,10634.0,4.0,6079.0,10634.0,100.0,0.06,0.06
2016-09-21,0.6,0.6,0.6,0.6,0.6,1000.0,1.0,600.0,1000.0,100.0,0.0,0.0
2016-09-20,0.63,0.63,0.63,0.63,0.63,100.0,1.0,63.0,100.0,100.0,0.0,0.0
2016-09-16,0.65,0.65,0.63,0.63,0.63,75833.0,8.0,47814.0,75833.0,100.0,0.02,-0.02
2016-09-15,0.69,0.69,0.66,0.66,0.69,1099.0,3.0,755.0,1099.0,100.0,0.03,-0.03
2016-09-14,0.69,0.74,0.69,0.69,0.69,22900.0,6.0,15851.0,22900.0,100.0,0.05,0.0
2016-09-12,0.72,0.72,0.72,0.72,0.72,8500.0,5.0,6120.0,8500.0,100.0,0.0,0.0
2016-09-08,0.75,0.75,0.75,0.75,0.74,50.0,1.0,37.0,50.0,100.0,0.0,0.0
2016-09-02,0.74,0.74,0.74,0.74,0.74,1000.0,1.0,740.0,1000.0,100.0,0.0,0.0
2016-09-01,0.75,0.75,0.74,0.75,0.75,21100.0,9.0,15723.0,21100.0,100.0,0.01,0.0
2016-08-30,0.73,0.73,0.67,0.72,0.7,9980.0,4.0,6984.0,9980.0,100.0,0.06,-0.01
2016-08-29,0.7,0.7,0.64,0.7,0.64,10091.0,4.0,6463.0,10091.0,100.0,0.06,0.0
2016-08-26,0.73,0.73,0.67,0.67,0.67,5490.0,2.0,3683.0,5490.0,100.0,0.06,-0.06
2016-08-25,0.73,0.76,0.7,0.7,0.7,5300.0,5.0,3722.0,5300.0,100.0,0.06,-0.03
2016-08-23,0.73,0.76,0.73,0.73,0.73,1111.0,4.0,814.0,1111.0,100.0,0.03,0.0
2016-08-22,0.78,0.78,0.73,0.73,0.76,175.0,2.0,133.0,175.0,100.0,0.05,-0.05
2016-08-19,0.76,0.76,0.72,0.76,0.74,2575.0,5.0,1917.0,2575.0,100.0,0.04,0.0
2016-08-18,0.67,0.73,0.67,0.73,0.73,3356.0,5.0,2434.0,3356.0,100.0,0.06,0.06
2016-08-17,0.76,0.76,0.7,0.7,0.76,114084.0,14.0,86593.0,114084.0,100.0,0.06,-0.06
2016-08-12,0.73,0.73,0.73,0.73,0.73,100.0,1.0,73.0,100.0,100.0,0.0,0.0
2016-08-11,0.71,0.71,0.71,0.71,0.7,90.0,1.0,63.0,90.0,100.0,0.0,0.0
2016-08-09,0.69,0.69,0.69,0.69,0.69,1000.0,2.0,690.0,1000.0,100.0,0.0,0.0
2016-08-04,0.66,0.66,0.66,0.66,0.65,92.0,1.0,60.0,92.0,100.0,0.0,0.0
2016-08-03,0.58,0.63,0.58,0.63,0.63,3010.0,6.0,1895.0,3010.0,100.0,0.05,0.05
2016-08-02,0.6,0.6,0.6,0.6,0.6,1000.0,2.0,600.0,1000.0,100.0,0.0,0.0
2016-08-01,0.58,0.58,0.58,0.58,0.58,30791.0,5.0,17858.0,30791.0,100.0,0.0,0.0
2016-07-29,0.56,0.56,0.56,0.56,0.56,5000.0,2.0,2800.0,5000.0,100.0,0.0,0.0
2016-07-26,0.5,0.54,0.5,0.54,0.51,290.0,2.0,149.0,290.0,100.0,0.04,0.04
2016-07-25,0.52,0.52,0.52,0.52,0.52,682.0,2.0,354.0,682.0,100.0,0.0,0.0
2016-07-22,0.54,0.54,0.54,0.54,0.54,318.0,1.0,171.0,318.0,100.0,0.0,0.0
2016-07-21,0.56,0.56,0.56,0.56,0.56,11700.0,2.0,6552.0,11700.0,100.0,0.0,0.0
2016-07-19,0.57,0.57,0.57,0.57,0.57,2200.0,4.0,1254.0,2200.0,100.0,0.0,0.0
2016-07-18,0.6,0.6,0.6,0.6,0.6,110.0,1.0,66.0,110.0,100.0,0.0,0.0
2016-07-05,0.59,0.59,0.58,0.58,0.58,1703.0,4.0,992.0,1703.0,100.0,0.01,-0.01
2016-06-28,0.61,0.61,0.61,0.61,0.6,10.0,1.0,6.0,10.0,100.0,0.0,0.0
2016-06-20,0.59,0.59,0.59,0.59,0.5,10.0,1.0,5.0,10.0,100.0,0.0,0.0
2016-06-07,0.55,0.57,0.55,0.57,0.56,1500.0,4.0,835.0,1500.0,100.0,0.02,0.02
2016-06-03,0.57,0.57,0.57,0.57,0.57,700.0,2.0,399.0,700.0,100.0,0.0,0.0
2016-05-26,0.63,0.63,0.6,0.6,0.63,1417.0,4.0,892.0,1417.0,100.0,0.03,-0.03
2016-05-25,0.6,0.6,0.6,0.6,0.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0
2016-05-24,0.58,0.58,0.58,0.58,0.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0
2016-05-20,0.53,0.56,0.52,0.56,0.53,10800.0,11.0,5721.0,10800.0,100.0,0.04,0.03
2016-05-19,0.58,0.58,0.54,0.54,0.56,22117.0,6.0,12396.0,22117.0,100.0,0.04,-0.04
2016-05-18,0.57,0.6,0.56,0.56,0.6,20692.0,10.0,12377.0,20692.0,100.0,0.04,-0.01
2016-05-17,0.58,0.58,0.58,0.58,0.58,500.0,1.0,290.0,500.0,100.0,0.0,0.0
2016-05-16,0.56,0.56,0.56,0.56,0.56,2710.0,1.0,1517.0,2710.0,100.0,0.0,0.0
2016-05-13,0.56,0.56,0.56,0.56,0.56,5635.0,3.0,3155.0,5635.0,100.0,0.0,0.0
2016-05-12,0.58,0.58,0.57,0.57,0.57,8000.0,6.0,4565.0,8000.0,100.0,0.01,-0.01
2016-05-10,0.57,0.6,0.57,0.6,0.59,24251.0,6.0,14203.0,24251.0,100.0,0.03,0.03
2016-05-09,0.64,0.64,0.58,0.58,0.62,8669.0,7.0,5364.0,8669.0,100.0,0.06,-0.06
2016-05-06,0.61,0.61,0.61,0.61,0.61,28000.0,3.0,17080.0,28000.0,100.0,0.0,0.0
2016-05-05,0.64,0.64,0.58,0.64,0.63,7195.0,11.0,4562.0,7195.0,100.0,0.06,0.0
2016-05-04,0.61,0.62,0.61,0.61,0.61,19416.0,17.0,11848.0,19416.0,100.0,0.01,0.0
2016-05-03,0.64,0.64,0.64,0.64,0.64,9509.0,7.0,6085.0,9509.0,100.0,0.0,0.0
2016-04-29,0.67,0.67,0.67,0.67,0.67,17092.0,6.0,11451.0,17092.0,100.0,0.0,0.0
2016-04-28,0.7,0.7,0.7,0.7,0.7,90.0,1.0,63.0,90.0,100.0,0.0,0.0
2016-04-27,0.73,0.73,0.73,0.73,0.73,4000.0,2.0,2920.0,4000.0,100.0,0.0,0.0
2016-04-26,0.73,0.73,0.73,0.73,0.73,4557.0,4.0,3326.0,4557.0,100.0,0.0,0.0
2016-04-25,0.76,0.76,0.76,0.76,0.76,1000.0,1.0,760.0,1000.0,100.0,0.0,0.0
2016-04-21,0.76,0.79,0.76,0.79,0.76,5500.0,2.0,4195.0,5500.0,100.0,0.03,0.03
2016-04-20,0.76,0.76,0.76,0.76,0.76,100.0,1.0,76.0,100.0,100.0,0.0,0.0
2016-04-18,0.73,0.73,0.73,0.73,0.73,2800.0,6.0,2044.0,2800.0,100.0,0.0,0.0
2016-04-13,0.7,0.7,0.7,0.7,0.7,17900.0,1.0,12530.0,17900.0,100.0,0.0,0.0
2016-04-12,0.67,0.67,0.67,0.67,0.67,100.0,1.0,67.0,100.0,100.0,0.0,0.0
2016-04-11,0.69,0.69,0.69,0.69,0.69,1500.0,1.0,1035.0,1500.0,100.0,0.0,0.0
2016-04-08,0.72,0.72,0.66,0.66,0.69,35500.0,31.0,24595.0,35500.0,100.0,0.06,-0.06
2016-04-07,0.65,0.7,0.64,0.69,0.66,34745.0,6.0,22774.0,34745.0,100.0,0.06,0.04
2016-04-06,0.62,0.67,0.62,0.67,0.63,390.0,2.0,246.0,390.0,100.0,0.05,0.05
2016-04-05,0.64,0.67,0.64,0.64,0.64,47880.0,34.0,30778.0,47880.0,100.0,0.03,0.0
2016-04-04,0.67,0.67,0.67,0.67,0.67,390.0,1.0,261.0,390.0,100.0,0.0,0.0
2016-03-31,0.76,0.76,0.7,0.7,0.74,2111.0,5.0,1559.0,2111.0,100.0,0.06,-0.06
2016-03-30,0.73,0.79,0.73,0.73,0.73,11412.0,10.0,8334.0,11412.0,100.0,0.06,0.0
2016-03-29,0.76,0.76,0.76,0.76,0.76,1300.0,1.0,988.0,1300.0,100.0,0.0,0.0
2016-03-28,0.8,0.8,0.79,0.79,0.79,2290.0,10.0,1810.0,2290.0,100.0,0.01,-0.01
2016-03-23,0.83,0.83,0.83,0.83,0.83,1500.0,2.0,1245.0,1500.0,100.0,0.0,0.0
2016-03-22,0.83,0.83,0.83,0.83,0.83,691.0,2.0,573.0,691.0,100.0,0.0,0.0
2016-03-21,0.85,0.85,0.8,0.84,0.82,301.0,4.0,246.0,301.0,100.0,0.05,-0.01
2016-03-18,0.84,0.84,0.81,0.81,0.81,1069.0,4.0,866.0,1069.0,100.0,0.03,-0.03
2016-03-17,0.74,0.8,0.74,0.8,0.74,10010.0,2.0,7408.0,10010.0,100.0,0.06,0.06
2016-03-16,0.77,0.77,0.71,0.77,0.71,3002.0,4.0,2131.0,3002.0,100.0,0.06,0.0
2016-03-15,0.74,0.74,0.74,0.74,0.74,49680.0,15.0,36763.0,49680.0,100.0,0.0,0.0
2016-03-14,0.72,0.77,0.71,0.77,0.71,26301.0,13.0,18738.0,26301.0,100.0,0.06,0.05
2016-03-11,0.74,0.74,0.74,0.74,0.74,7400.0,4.0,5476.0,7400.0,100.0,0.0,0.0
2016-03-10,0.77,0.77,0.77,0.77,0.77,1807.0,4.0,1391.0,1807.0,100.0,0.0,0.0
2016-03-09,0.84,0.84,0.76,0.81,0.76,39761.0,20.0,30230.0,39761.0,100.0,0.08,-0.03
2016-03-08,0.86,0.88,0.8,0.8,0.8,1502.0,6.0,1201.0,1502.0,100.0,0.08,-0.06
2016-03-04,0.84,0.84,0.84,0.84,0.84,961.0,6.0,807.0,961.0,100.0,0.0,0.0
2016-03-03,0.88,0.88,0.88,0.88,0.86,59.0,1.0,51.0,59.0,100.0,0.0,0.0
2016-03-02,0.87,0.87,0.86,0.86,0.86,1059.0,2.0,911.0,1059.0,100.0,0.01,-0.01
2016-03-01,0.86,0.86,0.78,0.85,0.83,12302.0,7.0,10240.0,12302.0,100.0,0.08,-0.01
2016-02-29,0.87,0.87,0.82,0.82,0.83,534.0,6.0,444.0,534.0,100.0,0.05,-0.05
2016-02-26,0.87,0.87,0.86,0.86,0.86,126.0,5.0,108.0,126.0,100.0,0.01,-0.01
2016-02-25,0.81,0.85,0.77,0.83,0.78,1332.0,11.0,1034.0,1332.0,100.0,0.08,0.02
2016-02-24,0.84,0.84,0.81,0.81,0.82,10001.0,3.0,8250.0,10001.0,100.0,0.03,-0.03
2016-02-23,0.8,0.81,0.75,0.8,0.79,28.0,5.0,22.0,28.0,100.0,0.06,0.0
2016-02-22,0.78,0.8,0.74,0.78,0.77,33303.0,14.0,25510.0,33303.0,100.0,0.06,0.0
2016-02-19,0.78,0.78,0.72,0.77,0.74,2659.0,14.0,1976.0,2659.0,100.0,0.06,-0.01
2016-02-18,0.72,0.75,0.72,0.75,0.71,101.0,2.0,72.0,101.0,100.0,0.03,0.03
2016-02-17,0.72,0.72,0.72,0.72,0.72,19960.0,10.0,14371.0,19960.0,100.0,0.0,0.0
2016-02-15,0.76,0.76,0.7,0.75,0.7,795.0,7.0,556.0,795.0,100.0,0.06,-0.01
2016-02-12,0.79,0.79,0.73,0.73,0.75,17551.0,6.0,13169.0,17551.0,100.0,0.06,-0.06
2016-02-11,0.76,0.82,0.76,0.76,0.76,15673.0,14.0,11912.0,15673.0,100.0,0.06,0.0
2016-02-10,0.87,0.87,0.79,0.79,0.79,54016.0,9.0,42913.0,54016.0,100.0,0.08,-0.08
2016-02-09,0.89,0.89,0.82,0.83,0.83,1352.0,7.0,1119.0,1352.0,100.0,0.07,-0.06
2016-02-05,0.79,0.87,0.79,0.86,0.79,16852.0,7.0,13383.0,16852.0,100.0,0.08,0.07
2016-02-04,0.87,0.87,0.83,0.83,0.83,11001.0,2.0,9130.0,11001.0,100.0,0.04,-0.04
2016-02-03,0.87,0.87,0.87,0.87,0.87,200.0,1.0,174.0,200.0,100.0,0.0,0.0
2016-02-02,0.91,0.91,0.91,0.91,0.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0
2016-02-01,0.91,0.91,0.91,0.91,0.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0
2016-01-29,0.91,0.91,0.87,0.91,0.9,1731.0,21.0,1563.0,1731.0,100.0,0.04,0.0
2016-01-28,0.91,0.91,0.91,0.91,0.91,9414.0,3.0,8566.0,9414.0,100.0,0.0,0.0
2016-01-27,0.91,0.91,0.83,0.91,0.84,17500.0,15.0,14659.0,17500.0,100.0,0.08,0.0
2016-01-25,0.91,0.91,0.87,0.87,0.89,11250.0,8.0,10002.0,11250.0,100.0,0.04,-0.04
2016-01-22,0.95,0.99,0.91,0.91,0.95,21521.0,9.0,20384.0,21521.0,100.0,0.08,-0.04
2016-01-21,0.95,0.95,0.95,0.95,0.95,11010.0,3.0,10459.0,11010.0,100.0,0.0,0.0
2016-01-20,1.0,1.0,1.0,1.0,1.0,15.0,3.0,15.0,15.0,100.0,0.0,0.0
2016-01-19,1.0,1.0,0.95,1.0,0.97,4798.0,109.0,4668.0,4798.0,100.0,0.05,0.0
2016-01-18,1.05,1.05,1.0,1.0,1.05,5215.0,7.0,5465.0,5215.0,100.0,0.05,-0.05
2016-01-15,1.1,1.1,1.05,1.05,1.05,4040.0,19.0,4242.0,4040.0,100.0,0.05,-0.05
2016-01-14,1.02,1.05,0.95,1.05,1.04,3309.0,31.0,3443.0,3309.0,100.0,0.1,0.03
2016-01-13,1.0,1.0,0.94,1.0,0.97,2158.0,11.0,2098.0,2158.0,100.0,0.06,0.0
2016-01-12,0.98,0.99,0.91,0.98,0.98,62285.0,24.0,61068.0,62285.0,100.0,0.08,0.0
2016-01-11,0.95,0.95,0.91,0.95,0.95,9407.0,7.0,8920.0,9407.0,100.0,0.04,0.0
2016-01-08,0.89,0.93,0.85,0.93,0.88,20404.0,117.0,17929.0,20404.0,100.0,0.08,0.04
2016-01-07,0.89,0.89,0.81,0.89,0.81,41582.0,92.0,33704.0,41582.0,100.0,0.08,0.0
2016-01-06,0.88,0.89,0.84,0.85,0.87,64152.0,28.0,55890.0,64152.0,100.0,0.05,-0.03
2016-01-05,0.84,0.88,0.84,0.88,0.87,98904.0,30.0,85726.0,98904.0,100.0,0.04,0.04
2016-01-04,0.87,0.87,0.84,0.84,0.86,31835.0,13.0,27358.0,31835.0,100.0,0.03,-0.03
2016-01-01,0.95,0.95,0.87,0.87,0.9,8224.0,18.0,7420.0,8224.0,100.0,0.08,-0.08
2015-12-31,0.87,0.91,0.87,0.91,0.88,23071.0,27.0,20277.0,23071.0,100.0,0.04,0.04
2015-12-30,0.87,0.91,0.87,0.91,0.88,42.0,4.0,37.0,42.0,100.0,0.04,0.04
2015-12-29,0.91,0.91,0.87,0.91,0.9,19701.0,15.0,17750.0,19701.0,100.0,0.04,0.0
2015-12-28,0.91,0.91,0.91,0.91,0.91,3720.0,9.0,3385.0,3720.0,100.0,0.0,0.0
2015-12-24,1.0,1.0,0.95,0.95,0.95,35413.0,18.0,33652.0,35413.0,100.0,0.05,-0.05
2015-12-23,0.99,0.99,0.99,0.99,0.99,37050.0,18.0,36679.0,37050.0,100.0,0.0,0.0
2015-12-22,1.04,1.14,1.04,1.04,1.11,55300.0,13.0,61612.0,55300.0,100.0,0.1,0.0
2015-12-21,1.15,1.15,1.09,1.09,1.09,48661.0,38.0,53040.0,48661.0,100.0,0.06,-0.06
2015-12-18,1.26,1.26,1.14,1.14,1.22,58766.0,207.0,71805.0,58766.0,100.0,0.12,-0.12
2015-12-17,1.2,1.2,1.2,1.2,1.2,4726.0,167.0,5671.0,4726.0,100.0,0.0,0.0
2015-12-16,1.26,1.26,1.26,1.26,1.26,30000.0,6.0,37800.0,30000.0,100.0,0.0,0.0
2015-12-15,1.32,1.32,1.32,1.32,1.32,41000.0,9.0,54120.0,41000.0,100.0,0.0,0.0
2015-12-14,1.32,1.32,1.32,1.32,1.32,20000.0,2.0,26400.0,20000.0,100.0,0.0,0.0
2015-12-11,1.38,1.38,1.38,1.38,1.38,40000.0,32.0,55200.0,40000.0,100.0,0.0,0.0
2015-12-10,1.39,1.39,1.27,1.38,1.39,43200.0,101.0,59908.0,43200.0,100.0,0.12,-0.01
2015-12-09,1.33,1.33,1.32,1.33,1.32,21247.0,46.0,28058.0,21247.0,100.0,0.01,0.0
2015-12-08,1.23,1.27,1.15,1.27,1.26,66455.0,144.0,83776.0,66455.0,100.0,0.12,0.04
2015-12-07,1.21,1.21,1.21,1.21,1.21,2164.0,157.0,2618.0,2164.0,100.0,0.0,0.0
2015-12-04,1.28,1.28,1.21,1.22,1.21,6300.0,142.0,7626.0,6300.0,100.0,0.07,-0.06
2015-12-03,1.22,1.22,1.22,1.22,1.22,35004.0,10.0,42704.0,35004.0,100.0,0.0,0.0
2015-12-02,1.17,1.17,1.17,1.17,1.17,8659.0,69.0,10131.0,8659.0,100.0,0.0,0.0
2015-12-01,1.12,1.12,1.02,1.12,1.12,30500.0,111.0,34110.0,30500.0,100.0,0.1,0.0
2015-11-30,1.16,1.17,1.07,1.07,1.14,2553.0,29.0,2917.0,2553.0,100.0,0.1,-0.09
2015-11-27,1.13,1.13,1.03,1.12,1.07,38526.0,74.0,41144.0,38526.0,100.0,0.1,-0.01
2015-11-26,1.18,1.18,1.08,1.08,1.15,2886.0,186.0,3332.0,2886.0,100.0,0.1,-0.1
2015-11-24,1.23,1.23,1.13,1.13,1.23,25130.0,68.0,30859.0,25130.0,100.0,0.1,-0.1
2015-11-23,1.3,1.3,1.18,1.18,1.24,2115.0,62.0,2628.0,2115.0,100.0,0.12,-0.12
2015-11-20,1.24,1.24,1.24,1.24,1.24,22174.0,124.0,27495.0,22174.0,100.0,0.0,0.0
2015-11-17,1.34,1.34,1.29,1.3,1.29,50092.0,76.0,64621.0,50092.0,100.0,0.05,-0.04
2015-11-16,1.29,1.29,1.29,1.29,1.29,322.0,56.0,415.0,322.0,100.0,0.0,0.0
2015-11-13,1.36,1.36,1.34,1.35,1.34,30157.0,91.0,40412.0,30157.0,100.0,0.02,-0.01
2015-11-10,1.3,1.36,1.3,1.36,1.31,646.0,75.0,845.0,646.0,100.0,0.06,0.06
2015-11-09,1.32,1.32,1.3,1.3,1.3,20104.0,57.0,26136.0,20104.0,100.0,0.02,-0.02
2015-11-06,1.32,1.32,1.32,1.32,1.32,502.0,2.0,662.0,502.0,100.0,0.0,0.0
2015-11-05,1.3,1.3,1.18,1.27,1.28,17542.0,29.0,22370.0,17542.0,100.0,0.12,-0.03
2015-11-04,1.24,1.24,1.24,1.24,1.24,17177.0,137.0,21299.0,17177.0,100.0,0.0,0.0
2015-11-03,1.28,1.3,1.28,1.3,1.28,50002.0,11.0,64002.0,50002.0,100.0,0.02,0.02
2015-10-30,1.34,1.34,1.3,1.34,1.34,70000.0,30.0,93779.0,70000.0,100.0,0.04,0.0
2015-10-29,1.32,1.32,1.31,1.31,1.32,1039.0,21.0,1371.0,1039.0,100.0,0.01,-0.01
2015-10-28,1.25,1.26,1.25,1.26,1.25,50046.0,40.0,62557.0,50046.0,100.0,0.01,0.01
2015-10-27,1.28,1.3,1.18,1.2,1.2,6185.0,129.0,7410.0,6185.0,100.0,0.12,-0.08
2015-10-26,1.19,1.24,1.19,1.24,1.23,58314.0,152.0,71664.0,58314.0,100.0,0.05,0.05
2015-10-23,1.1,1.19,1.1,1.19,1.11,3254.0,120.0,3602.0,3254.0,100.0,0.09,0.09
2015-10-19,1.26,1.26,1.14,1.14,1.19,1755.0,59.0,2089.0,1755.0,100.0,0.12,-0.12
2015-10-16,1.2,1.2,1.14,1.2,1.2,2113.0,4.0,2529.0,2113.0,100.0,0.06,0.0
2015-10-15,1.2,1.2,1.2,1.2,1.2,320.0,32.0,384.0,320.0,100.0,0.0,0.0
