plate,lat,lon
an,-55.740,-3.720
an,-55.769,-4.056
an,-55.807,-4.691
an,-56.210,-4.675
an,-56.592,-4.693
an,-56.627,-5.448
an,-56.672,-6.057
an,-56.982,-6.094
an,-57.240,-6.130
an,-57.270,-6.538
an,-57.318,-6.999
an,-57.617,-7.013
an,-57.869,-7.009
an,-57.920,-7.525
an,-57.989,-8.607
an,-58.092,-9.885
an,-58.158,-11.190
an,-58.241,-12.649
an,-58.317,-13.954
an,-58.390,-15.069
an,-58.439,-15.972
an,-58.459,-16.005
an,-58.767,-16.226
an,-59.098,-16.410
an,-59.098,-16.917
an,-59.129,-17.667
an,-59.153,-18.060
an,-59.509,-18.123
an,-59.542,-18.433
an,-59.938,-18.547
an,-60.250,-18.646
an,-60.289,-19.370
an,-60.811,-19.581
an,-60.782,-20.651
an,-60.744,-21.719
an,-60.723,-22.914
an,-60.692,-24.107
an,-60.545,-25.093
an,-60.391,-26.071
an,-60.391,-26.071
an,-60.506,-26.890
an,-60.617,-27.697
an,-60.617,-27.697
an,-60.601,-28.743
an,-60.575,-29.738
an,-60.512,-31.014
an,-60.409,-32.367
an,-60.409,-32.367
an,-60.701,-33.446
an,-60.989,-34.825
an,-61.392,-36.418
an,-61.243,-37.560
an,-61.018,-39.093
an,-60.634,-39.827
an,-60.975,-41.214
an,-60.501,-42.067
an,-60.376,-43.151
an,-60.242,-44.226
an,-60.242,-44.226
an,-60.092,-45.603
an,-59.960,-46.963
an,-59.968,-48.251
an,-60.044,-49.599
an,-60.094,-50.887
an,-60.572,-51.119
an,-60.753,-52.068
an,-61.037,-53.122
an,-61.510,-54.301
an,-61.510,-54.301
an,-61.687,-55.436
an,-62.063,-56.306
an,-62.304,-57.390
an,-62.553,-58.614
an,-62.945,-60.118
an,-63.293,-61.750
an,-63.001,-62.420
an,-62.825,-63.292
an,-62.422,-63.969
an,-62.422,-63.969
an,-62.110,-63.105
an,-61.841,-62.203
an,-61.543,-61.332
an,-61.363,-60.650
an,-61.177,-59.836
an,-61.082,-58.891
an,-60.962,-58.131
an,-60.855,-57.494
an,-60.565,-56.925
an,-60.565,-56.925
an,-59.999,-58.223
an,-59.728,-58.970
an,-59.453,-59.705
an,-59.011,-61.040
an,-58.603,-62.571
an,-58.359,-63.571
an,-57.959,-64.617
an,-57.959,-64.617
an,-57.736,-65.867
an,-57.502,-67.102
an,-57.072,-68.097
an,-56.852,-69.256
an,-56.622,-70.401
an,-56.255,-71.548
an,-55.962,-72.277
an,-55.665,-72.995
an,-55.359,-73.480
an,-55.004,-74.120
an,-54.645,-74.749
an,-54.294,-75.239
an,-53.941,-75.720
an,-53.435,-76.020
an,-52.928,-76.312
an,-52.068,-76.483
an,-52.068,-76.483
an,-51.377,-76.626
an,-50.729,-76.757
an,-49.845,-76.990
an,-49.192,-77.024
an,-48.507,-76.925
an,-47.875,-76.650
an,-47.478,-76.321
an,-47.080,-75.997
an,-46.422,-75.958
an,-45.658,-76.006
an,-45.658,-76.006
an,-45.643,-76.675
an,-45.761,-77.661
an,-45.589,-77.764
an,-45.092,-77.990
an,-44.411,-78.207
an,-44.545,-78.893
an,-44.666,-79.586
an,-44.782,-80.281
an,-44.876,-81.106
an,-44.964,-81.935
an,-44.404,-82.138
an,-43.639,-82.351
an,-42.861,-82.509
an,-42.981,-83.448
an,-42.873,-83.454
an,-42.222,-83.604
an,-41.674,-83.716
an,-41.125,-83.827
an,-41.191,-84.487
an,-41.253,-85.148
an,-41.392,-86.240
an,-41.521,-87.336
an,-41.273,-87.417
an,-41.319,-88.447
an,-41.378,-89.250
an,-41.432,-90.054
an,-41.059,-90.088
an,-41.082,-90.739
an,-41.102,-91.391
an,-40.732,-91.476
an,-40.282,-91.512
an,-39.833,-91.548
an,-39.349,-91.603
an,-38.866,-91.658
an,-38.918,-92.340
an,-38.967,-93.022
an,-38.429,-93.075
an,-38.482,-93.996
an,-37.717,-94.093
an,-37.001,-94.130
an,-36.985,-94.909
an,-36.965,-95.689
an,-36.921,-96.552
an,-36.871,-97.413
an,-36.294,-97.402
an,-36.193,-98.417
an,-36.133,-99.532
an,-36.063,-100.645
an,-35.997,-101.286
an,-35.927,-101.926
an,-35.854,-102.565
an,-35.778,-103.202
an,-35.694,-103.998
an,-35.605,-104.793
an,-35.524,-105.391
an,-35.439,-105.988
an,-35.394,-106.666
an,-35.344,-107.343
an,-35.240,-108.071
an,-35.132,-108.797
an,-34.545,-109.259
an,-34.545,-109.259
an,-34.609,-109.691
an,-34.702,-109.919
an,-34.817,-110.141
an,-34.946,-110.326
an,-35.061,-110.527
an,-35.091,-110.827
an,-35.091,-110.827
an,-35.319,-110.877
an,-35.797,-110.895
an,-35.830,-110.579
an,-36.219,-110.715
an,-36.358,-110.739
an,-36.410,-110.471
an,-37.042,-110.668
an,-37.674,-110.869
an,-38.276,-111.067
an,-38.878,-111.268
an,-38.978,-111.270
an,-38.986,-110.391
an,-39.575,-110.533
an,-40.164,-110.677
an,-40.760,-110.754
an,-41.355,-110.832
an,-42.249,-110.954
an,-42.200,-111.349
an,-42.683,-111.538
an,-43.166,-111.730
an,-43.774,-111.971
an,-44.381,-112.216
an,-44.938,-112.381
an,-45.494,-112.550
an,-45.833,-112.675
an,-45.854,-112.426
an,-46.538,-112.685
an,-47.222,-112.950
an,-47.773,-113.131
an,-48.324,-113.315
an,-48.841,-113.528
an,-49.357,-113.745
an,-49.849,-113.875
an,-49.721,-114.556
an,-49.589,-115.233
an,-49.367,-116.388
an,-49.893,-116.802
an,-50.418,-117.225
an,-50.875,-117.522
an,-51.331,-117.824
an,-51.772,-118.120
an,-52.212,-118.422
an,-52.752,-118.875
an,-52.897,-118.977
an,-53.124,-117.661
an,-53.691,-118.037
an,-54.350,-118.313
an,-54.819,-118.581
an,-54.642,-119.685
an,-54.410,-120.663
an,-55.219,-121.228
an,-55.832,-121.635
an,-56.026,-121.862
an,-55.873,-122.655
an,-55.715,-123.442
an,-55.587,-124.262
an,-55.454,-125.077
an,-55.138,-126.197
an,-55.064,-126.800
an,-55.565,-127.231
an,-55.322,-128.624
an,-55.129,-129.345
an,-54.931,-130.059
an,-54.623,-131.375
an,-54.432,-132.126
an,-54.237,-132.870
an,-53.887,-134.205
an,-53.643,-135.307
an,-53.396,-136.180
an,-53.907,-136.590
an,-53.688,-137.522
an,-53.568,-137.890
an,-54.141,-138.338
an,-54.712,-138.799
an,-55.251,-139.253
an,-55.615,-139.578
an,-55.725,-139.191
an,-56.268,-139.545
an,-56.772,-140.041
an,-57.053,-140.325
an,-56.839,-141.211
an,-56.619,-142.086
an,-56.263,-143.324
an,-55.910,-144.482
an,-55.784,-144.857
an,-56.228,-145.412
an,-56.669,-145.979
an,-57.308,-146.681
an,-57.638,-147.167
an,-57.555,-147.692
an,-58.130,-148.276
an,-58.822,-149.264
an,-59.314,-149.809
an,-59.718,-150.382
an,-59.469,-151.329
an,-60.157,-152.119
an,-60.841,-152.943
an,-61.399,-153.661
an,-61.836,-154.181
an,-61.776,-154.324
an,-62.433,-155.254
an,-62.953,-156.022
an,-63.324,-156.717
an,-63.070,-157.601
an,-62.788,-158.394
an,-63.004,-158.703
an,-62.595,-159.888
an,-62.923,-160.430
an,-62.614,-161.338
an,-62.394,-162.061
an,-62.968,-163.001
an,-63.467,-163.921
an,-63.007,-165.149
an,-62.606,-166.199
an,-62.490,-166.608
an,-63.106,-167.513
an,-63.730,-168.379
an,-64.245,-169.109
an,-64.764,-169.839
an,-64.859,-170.043
an,-64.356,-171.300
an,-64.978,-172.517
an,-65.506,-173.709
an,-65.835,-174.418
an,-65.505,-175.070
an,-65.183,-175.729
an,-65.607,-177.072
an,-65.862,-177.926
an,-66.163,-178.793
an,-65.986,-179.197
an,-65.739,179.963
an,-65.477,179.381
an,-65.274,178.759
an,-65.079,178.240
an,-64.975,177.889
an,-64.736,177.338
an,-64.506,176.819
an,-64.410,176.549
an,-64.188,176.063
an,-63.984,175.582
an,-64.174,175.162
an,-64.315,174.814
an,-64.508,174.242
an,-64.738,173.631
an,-64.256,172.520
an,-64.097,172.164
an,-63.807,171.640
an,-63.447,171.009
an,-63.149,170.441
an,-62.972,170.068
an,-62.676,169.605
an,-62.446,169.238
an,-62.632,168.708
an,-62.773,168.277
an,-62.971,167.550
an,-63.221,166.858
an,-63.087,166.620
an,-62.668,165.969
an,-62.473,165.653
an,-62.077,165.103
an,-62.177,164.768
an,-62.322,164.275
an,-62.475,163.773
an,-62.660,163.202
an,-62.213,162.579
an,-61.763,161.975
an,-61.457,161.228
an,-61.457,161.228
an,-61.559,160.865
an,-62.026,159.440
an,-62.478,157.970
an,-62.914,156.457
an,-62.174,155.701
an,-61.429,154.981
an,-60.681,154.294
an,-59.930,153.639
an,-60.176,152.473
an,-60.413,151.290
an,-59.944,151.008
an,-59.475,150.733
an,-59.570,150.006
an,-58.999,149.652
an,-58.552,149.398
an,-58.104,149.150
an,-57.436,148.806
an,-57.527,148.076
an,-57.566,147.902
an,-57.088,147.721
an,-56.610,147.545
an,-56.132,147.373
an,-55.654,147.206
an,-55.175,147.043
an,-54.695,146.881
an,-54.695,146.881
an,-54.755,145.401
an,-54.798,144.282
an,-54.234,143.778
an,-54.215,142.250
an,-54.053,141.451
an,-53.885,140.659
an,-53.504,140.584
an,-52.750,140.478
an,-52.274,140.400
an,-51.798,140.323
an,-51.838,139.813
an,-51.174,139.733
an,-50.279,139.645
an,-50.256,139.110
an,-50.231,138.401
an,-50.234,137.700
an,-50.220,136.946
an,-50.248,136.226
an,-50.209,135.246
an,-50.384,135.026
an,-50.347,134.245
an,-50.306,133.465
an,-50.223,132.261
an,-50.222,131.515
an,-50.604,131.256
an,-50.525,130.569
an,-50.348,129.412
an,-50.159,128.312
an,-49.976,127.143
an,-49.643,127.196
an,-49.294,127.243
an,-48.764,127.313
an,-48.698,126.861
an,-48.630,126.434
an,-49.044,126.264
an,-49.401,126.074
an,-49.717,125.896
an,-49.598,125.262
an,-49.358,125.125
an,-49.153,124.992
an,-48.983,124.607
an,-48.848,124.213
an,-48.906,124.007
an,-49.122,123.771
an,-49.585,123.328
an,-49.542,123.013
an,-49.729,122.797
an,-49.812,122.553
an,-49.846,122.224
an,-49.736,121.866
an,-49.620,121.437
an,-49.006,121.555
an,-48.890,120.842
an,-49.524,120.516
an,-50.036,120.273
an,-49.938,119.366
an,-49.802,118.547
an,-49.865,118.194
an,-49.620,117.523
an,-49.271,116.635
an,-49.540,116.256
an,-49.852,115.988
an,-49.974,115.500
an,-49.878,114.362
an,-50.388,114.024
an,-50.200,112.967
an,-50.084,111.666
an,-49.930,111.363
an,-49.800,111.129
an,-49.829,110.868
an,-49.779,110.472
an,-49.523,109.351
an,-49.523,109.351
an,-49.259,108.240
an,-49.182,108.285
an,-49.015,107.486
an,-48.841,106.692
an,-49.101,106.554
an,-48.934,105.898
an,-48.762,105.247
an,-48.588,104.601
an,-48.409,103.959
an,-48.227,103.321
an,-48.042,102.688
an,-47.853,102.060
an,-47.661,101.436
an,-47.465,100.817
an,-47.267,100.202
an,-47.978,99.624
an,-47.744,98.979
an,-47.506,98.340
an,-47.265,97.707
an,-47.020,97.080
an,-46.772,96.458
an,-46.520,95.842
an,-45.996,96.274
an,-45.471,96.698
an,-45.141,95.806
an,-44.805,94.926
an,-44.620,95.040
an,-44.390,94.470
an,-44.157,93.904
an,-43.922,93.343
an,-43.684,92.786
an,-43.443,92.234
an,-43.199,91.686
an,-42.953,91.142
an,-42.705,90.603
an,-42.454,90.068
an,-42.200,89.537
an,-41.944,89.011
an,-41.686,88.488
an,-41.997,88.060
an,-41.711,87.502
an,-41.421,86.950
an,-41.129,86.402
an,-40.834,85.859
an,-41.180,85.466
an,-41.525,85.070
an,-41.868,84.669
an,-42.210,84.263
an,-42.551,83.853
an,-42.890,83.439
an,-42.309,82.588
an,-41.722,81.752
an,-41.130,80.931
an,-41.512,80.463
an,-41.892,79.990
an,-41.384,79.319
an,-40.872,78.659
an,-40.866,78.484
an,-40.326,77.825
an,-39.905,78.425
an,-39.538,78.002
an,-39.262,78.384
an,-39.005,78.073
an,-38.659,78.529
an,-38.393,78.181
an,-38.001,78.706
an,-37.483,78.021
an,-36.998,78.606
an,-36.511,79.184
an,-36.098,78.690
an,-35.683,78.201
an,-35.161,78.803
an,-34.842,78.442
an,-34.807,78.488
an,-34.324,77.917
an,-33.838,77.352
an,-33.194,78.086
an,-32.828,77.658
an,-32.459,77.233
an,-32.090,76.812
an,-31.719,76.395
an,-31.465,76.689
an,-30.970,76.148
an,-30.906,76.204
an,-30.573,75.797
an,-30.240,75.393
an,-30.118,75.515
an,-30.006,75.364
an,-29.839,75.554
an,-29.328,74.938
an,-29.265,74.994
an,-28.904,74.592
an,-28.541,74.192
an,-28.317,74.406
an,-27.944,73.969
an,-27.570,73.534
an,-27.655,73.400
an,-27.446,73.123
an,-27.573,72.920
an,-27.146,72.463
an,-26.718,72.008
an,-26.656,72.066
an,-26.386,71.717
an,-26.454,71.580
an,-26.083,71.135
an,-26.187,70.994
an,-25.912,70.665
an,-26.060,70.409
an,-25.651,69.960
an,-25.651,69.960
an,-25.676,69.490
an,-25.782,69.460
an,-25.784,69.138
an,-25.993,69.150
an,-26.009,68.829
an,-26.141,68.820
an,-26.121,68.598
an,-26.262,68.622
an,-26.291,67.979
an,-26.583,67.962
an,-26.572,67.433
an,-26.870,67.424
an,-26.867,67.156
an,-27.269,67.129
an,-27.281,66.373
an,-27.515,66.359
an,-27.514,65.347
an,-27.812,65.332
an,-27.817,64.467
an,-27.831,63.604
an,-28.039,63.621
an,-28.021,63.194
an,-28.164,63.211
an,-28.152,62.703
an,-28.459,62.746
an,-28.490,62.135
an,-28.811,62.162
an,-28.777,61.518
an,-28.920,61.532
an,-28.931,60.810
an,-29.465,60.786
an,-29.999,60.762
an,-30.015,60.747
an,-30.532,60.763
an,-30.561,60.005
an,-30.567,59.188
an,-31.050,59.167
an,-31.055,58.530
an,-31.691,58.456
an,-31.722,57.800
an,-31.771,57.153
an,-32.303,57.122
an,-32.835,57.091
an,-33.554,57.061
an,-33.627,56.401
an,-33.653,55.738
an,-34.235,55.699
an,-34.287,55.301
an,-34.560,55.275
an,-34.542,54.255
an,-35.302,54.216
an,-35.517,53.471
an,-36.141,53.467
an,-36.153,52.902
an,-36.162,52.338
an,-36.797,52.311
an,-37.432,52.283
an,-37.441,51.555
an,-37.451,50.827
an,-37.580,50.823
an,-37.597,49.962
an,-37.790,49.945
an,-37.792,49.037
an,-38.000,49.034
an,-38.014,48.633
an,-38.478,48.017
an,-38.651,48.023
an,-38.764,47.135
an,-38.870,46.244
an,-39.495,46.160
an,-40.119,46.074
an,-40.108,45.332
an,-40.366,45.303
an,-40.369,44.716
an,-40.691,44.686
an,-40.671,44.023
an,-40.915,44.009
an,-40.850,42.873
an,-41.321,42.774
an,-41.790,42.674
an,-42.260,42.572
an,-42.730,42.469
an,-42.655,41.812
an,-43.117,41.686
an,-43.579,41.558
an,-43.438,40.506
an,-43.286,39.459
an,-43.726,39.267
an,-44.165,39.073
an,-44.055,38.338
an,-44.401,38.194
an,-44.619,38.083
an,-44.619,38.083
an,-44.875,37.508
an,-44.804,37.086
an,-44.920,36.677
an,-44.967,36.303
an,-44.961,35.973
an,-44.866,35.660
an,-44.855,35.182
an,-45.106,35.014
an,-45.466,34.868
an,-45.971,34.704
an,-46.222,34.504
an,-46.212,34.267
an,-46.090,34.087
an,-46.081,33.982
an,-45.979,33.818
an,-46.346,33.540
an,-46.806,33.358
an,-47.264,33.174
an,-47.000,32.126
an,-47.000,32.126
an,-47.201,31.865
an,-47.682,31.588
an,-48.163,31.306
an,-48.587,31.008
an,-49.011,30.705
an,-49.215,30.362
an,-49.611,30.006
an,-49.934,29.712
an,-50.507,29.343
an,-51.137,28.969
an,-51.772,28.605
an,-52.277,28.403
an,-52.540,28.312
an,-52.904,28.111
an,-52.771,27.480
an,-52.673,27.370
an,-52.547,27.322
an,-52.378,26.713
an,-52.620,26.513
an,-53.065,26.338
an,-53.429,26.181
an,-53.582,25.987
an,-53.480,25.861
an,-53.410,25.648
an,-53.444,25.180
an,-53.345,24.873
an,-53.345,24.873
an,-53.422,24.685
an,-53.309,23.886
an,-53.200,23.021
an,-53.098,23.075
an,-53.051,22.504
an,-52.909,21.250
an,-52.817,19.994
an,-52.553,18.712
an,-52.734,18.537
an,-52.467,17.806
an,-52.169,16.907
an,-51.787,15.822
an,-52.084,15.428
an,-52.307,15.112
an,-51.997,14.463
an,-52.477,13.788
an,-52.141,13.204
an,-51.963,12.895
an,-52.375,12.299
an,-52.783,11.708
an,-53.332,10.975
an,-53.066,10.542
an,-52.792,9.993
an,-53.233,9.429
an,-53.668,8.799
an,-54.033,8.288
an,-54.396,7.772
an,-54.396,7.772
AP,-15.736,-75.916
AP,-16.330,-75.292
AP,-16.823,-74.609
AP,-17.373,-73.949
AP,-17.747,-73.400
AP,-18.257,-72.737
AP,-18.721,-72.266
AP,-19.298,-71.746
AP,-19.811,-71.487
AP,-20.249,-71.362
AP,-20.758,-71.323
AP,-21.262,-71.249
AP,-21.965,-71.307
AP,-21.965,-71.307
AP,-21.734,-70.683
AP,-21.500,-70.062
AP,-21.500,-69.114
AP,-21.500,-68.166
AP,-21.500,-67.655
AP,-21.500,-67.144
AP,-21.500,-66.634
AP,-21.500,-66.123
AP,-21.465,-65.427
AP,-21.427,-64.732
AP,-21.399,-64.139
AP,-21.368,-63.545
AP,-20.759,-63.360
AP,-20.150,-63.176
AP,-19.511,-63.286
AP,-18.872,-63.396
AP,-18.375,-63.617
AP,-17.878,-63.836
AP,-17.464,-63.856
AP,-17.402,-64.585
AP,-17.110,-65.419
AP,-16.729,-65.795
AP,-16.348,-66.171
AP,-15.714,-66.696
AP,-15.079,-67.218
AP,-14.527,-67.423
AP,-14.028,-68.008
AP,-13.527,-68.590
AP,-13.395,-69.046
AP,-13.261,-69.501
AP,-13.035,-70.125
AP,-12.807,-70.747
AP,-12.578,-71.392
AP,-12.348,-72.036
AP,-12.418,-72.655
AP,-12.486,-73.274
AP,-13.182,-73.850
AP,-13.876,-74.429
AP,-14.497,-74.922
AP,-15.117,-75.418
AP,-15.736,-75.916
AP,-15.736,-75.916
ar,24.382,65.028
ar,24.350,64.162
ar,24.285,63.366
ar,24.283,62.581
ar,24.087,61.955
ar,24.122,61.365
ar,24.177,60.870
ar,24.232,60.374
ar,24.311,59.603
ar,24.363,58.716
ar,24.443,57.832
ar,24.788,57.345
ar,25.552,57.121
ar,26.049,57.057
ar,26.545,56.992
ar,27.301,56.875
ar,27.369,56.423
ar,26.947,55.662
ar,26.668,54.728
ar,26.717,53.860
ar,27.121,53.241
ar,27.561,52.504
ar,27.957,51.912
ar,28.487,51.283
ar,29.072,50.998
ar,29.578,51.057
ar,30.103,50.453
ar,30.453,49.974
ar,30.802,49.492
ar,31.212,49.265
ar,31.621,49.036
ar,32.237,48.489
ar,32.308,48.170
ar,32.311,47.770
ar,32.448,47.411
ar,32.887,46.608
ar,33.391,45.918
ar,33.893,45.505
ar,34.591,45.000
ar,34.591,45.000
ar,35.025,44.836
ar,35.458,44.670
ar,36.015,44.515
ar,36.572,44.357
ar,37.098,44.020
ar,37.407,43.648
ar,37.685,43.176
ar,37.990,42.797
ar,38.213,42.289
ar,38.355,41.839
ar,38.616,41.236
ar,38.849,41.026
ar,39.080,41.002
ar,39.080,41.002
ar,38.857,40.624
ar,38.768,40.163
ar,38.497,39.402
ar,38.314,38.856
ar,38.121,38.365
ar,37.994,38.042
ar,37.834,37.682
ar,37.512,37.083
ar,37.398,36.789
ar,36.730,36.467
ar,36.260,36.389
ar,36.023,36.413
ar,36.023,36.413
ar,35.752,36.431
ar,35.285,36.396
ar,34.482,36.325
ar,34.096,36.024
ar,33.710,35.726
ar,33.233,35.648
ar,32.755,35.571
ar,32.004,35.470
ar,31.383,35.309
ar,30.703,35.142
ar,30.000,34.952
ar,30.000,34.952
ar,29.472,34.776
ar,28.943,34.601
ar,28.414,34.428
ar,27.885,34.257
ar,27.262,34.547
ar,26.808,34.875
ar,26.353,35.200
ar,25.919,35.546
ar,25.484,35.889
ar,25.055,36.066
ar,24.626,36.242
ar,24.133,36.407
ar,23.639,36.571
ar,23.226,37.042
ar,22.494,37.540
ar,21.843,37.825
ar,21.021,37.975
ar,20.389,38.075
ar,19.907,38.396
ar,19.448,38.826
ar,19.030,39.298
ar,19.030,39.298
ar,18.419,39.590
ar,17.949,39.987
ar,17.266,40.331
ar,16.785,40.251
ar,16.304,40.172
ar,15.772,39.671
ar,15.138,39.777
ar,14.719,40.026
ar,14.300,40.275
ar,13.742,40.614
ar,13.209,40.091
ar,12.600,40.507
ar,12.206,40.857
ar,11.811,41.206
ar,12.189,41.649
ar,11.577,42.033
ar,11.577,42.033
ar,11.795,42.841
ar,12.013,43.650
ar,12.008,44.049
ar,12.013,44.513
ar,12.022,44.780
ar,12.019,44.882
ar,12.012,44.913
ar,11.999,45.097
ar,11.998,45.281
ar,12.053,45.328
ar,12.018,45.428
ar,11.983,45.522
ar,12.073,45.602
ar,12.159,45.637
ar,12.152,45.650
ar,12.100,45.851
ar,12.058,46.110
ar,12.112,46.150
ar,12.172,46.198
ar,12.143,46.311
ar,12.088,46.429
ar,12.202,46.511
ar,12.292,46.579
ar,12.248,46.717
ar,12.211,46.849
ar,12.300,46.930
ar,12.403,46.992
ar,12.388,47.049
ar,12.359,47.130
ar,12.463,47.161
ar,12.430,47.319
ar,12.369,47.539
ar,12.441,47.587
ar,12.518,47.649
ar,12.492,47.788
ar,12.461,47.901
ar,12.581,47.991
ar,12.671,48.048
ar,12.641,48.142
ar,12.602,48.267
ar,12.573,48.349
ar,12.729,48.448
ar,12.691,48.567
ar,12.658,48.699
ar,12.770,48.803
ar,12.908,48.882
ar,12.853,49.071
ar,12.802,49.278
ar,12.897,49.349
ar,13.042,49.430
ar,13.008,49.472
ar,13.169,49.593
ar,13.313,49.680
ar,13.251,49.849
ar,13.168,50.061
ar,13.123,50.167
ar,13.229,50.252
ar,13.312,50.310
ar,13.273,50.429
ar,13.218,50.573
ar,13.362,50.661
ar,13.279,50.842
ar,13.192,51.079
ar,13.122,51.253
ar,13.272,51.343
ar,13.458,51.449
ar,13.667,51.570
ar,14.028,51.763
ar,14.353,51.940
ar,14.689,52.139
ar,14.662,52.299
ar,14.597,52.547
ar,14.562,52.667
ar,14.681,52.737
ar,14.622,52.907
ar,14.559,53.122
ar,14.538,53.211
ar,14.562,53.220
ar,14.512,53.358
ar,14.441,53.579
ar,14.361,53.818
ar,14.351,53.862
ar,14.489,53.929
ar,14.657,54.018
ar,14.772,54.069
ar,14.733,54.149
ar,14.710,54.193
ar,14.691,54.249
ar,14.681,54.287
ar,14.671,54.332
ar,14.640,54.387
ar,14.621,54.450
ar,14.760,54.511
ar,14.870,54.549
ar,14.801,54.731
ar,14.727,54.958
ar,14.712,55.047
ar,14.851,55.108
ar,14.789,55.278
ar,14.729,55.480
ar,14.681,55.631
ar,14.722,55.669
ar,14.692,55.822
ar,14.641,56.057
ar,14.621,56.179
ar,14.643,56.208
ar,14.623,56.265
ar,14.623,56.265
ar,14.660,57.002
ar,14.662,57.476
ar,14.599,57.984
ar,14.916,58.213
ar,14.646,58.589
ar,15.088,59.034
ar,14.895,59.410
ar,15.242,59.642
ar,15.572,59.909
ar,16.142,59.964
ar,16.713,60.020
ar,17.458,60.062
ar,18.240,60.215
ar,18.240,60.215
ar,18.798,60.456
ar,19.306,60.712
ar,19.813,60.970
ar,20.230,61.230
ar,20.644,61.492
ar,21.126,61.848
ar,21.425,62.096
ar,22.083,62.133
ar,22.385,62.502
ar,22.683,62.877
ar,23.201,63.631
ar,23.694,64.275
ar,24.038,64.651
