PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
260,1,2,female,50,0,1,26,3
261,0,3,Male,60,0,0,7.75,2
262,1,3,Male,3,4,2,31.3875,3
263,0,1,Male,52,1,1,79.65,3
264,0,1,Male,40,0,0,0,3
265,0,3,female,60,0,0,7.75,2
266,0,2,Male,36,0,0,10.5,3
267,0,3,Male,16,4,1,39.6875,3
268,1,3,Male,25,1,0,7.775,3
269,1,1,female,58,0,1,153.4625,3
270,1,1,female,35,0,0,135.6333,3
271,0,1,Male,60,0,0,31,3
272,1,3,Male,25,0,0,0,3
273,1,2,female,41,0,1,19.5,3
274,0,1,Male,37,0,1,29.7,1
275,1,3,female,60,0,0,7.75,2
276,1,1,female,63,1,0,77.9583,3
277,0,3,female,45,0,0,7.75,3
278,0,2,Male,60,0,0,0,3
279,0,3,Male,7,4,1,29.125,2
280,1,3,female,35,1,1,20.25,3
281,0,3,Male,65,0,0,7.75,2
282,0,3,Male,28,0,0,7.8542,3
283,0,3,Male,16,0,0,9.5,3
284,1,3,Male,19,0,0,8.05,3
285,0,1,Male,60,0,0,26,3
286,0,3,Male,33,0,0,8.6625,1
287,1,3,Male,30,0,0,9.5,3
288,0,3,Male,22,0,0,7.8958,3
289,1,2,Male,42,0,0,13,3
290,1,3,female,22,0,0,7.75,2
291,1,1,female,26,0,0,78.85,3
292,1,1,female,19,1,0,91.0792,1
293,0,2,Male,36,0,0,12.875,1
294,0,3,female,24,0,0,8.85,3
295,0,3,Male,24,0,0,7.8958,3
296,0,1,Male,60,0,0,27.7208,1
297,0,3,Male,23.5,0,0,7.2292,1
298,0,1,female,2,1,2,151.55,3
299,1,1,Male,60,0,0,30.5,3
300,1,1,female,50,0,1,247.5208,1
301,1,3,female,60,0,0,7.75,2
302,1,3,Male,60,2,0,23.25,2
303,0,3,Male,19,0,0,0,3
304,1,2,female,60,0,0,12.35,2
305,0,3,Male,60,0,0,8.05,3
306,1,1,Male,0.92,1,2,151.55,3
307,1,1,female,60,0,0,110.8833,1
308,1,1,female,17,1,0,108.9,1
309,0,2,Male,30,1,0,24,1
310,1,1,female,30,0,0,56.9292,1
311,1,1,female,24,0,0,83.1583,1
312,1,1,female,18,2,2,262.375,1
313,0,2,female,26,1,1,26,3
314,0,3,Male,28,0,0,7.8958,3
315,0,2,Male,43,1,1,26.25,3
316,1,3,female,26,0,0,7.8542,3
317,1,2,female,24,1,0,26,3
318,0,2,Male,54,0,0,14,3
319,1,1,female,31,0,2,164.8667,3
320,1,1,female,40,1,1,134.5,1
321,0,3,Male,22,0,0,7.25,3
322,0,3,Male,27,0,0,7.8958,3
323,1,2,female,30,0,0,12.35,2
324,1,2,female,22,1,1,29,3
325,0,3,Male,60,8,2,69.55,3
326,1,1,female,36,0,0,135.6333,1
327,0,3,Male,61,0,0,6.2375,3
328,1,2,female,36,0,0,13,3
329,1,3,female,31,1,1,20.525,3
330,1,1,female,16,0,1,57.9792,1
331,1,3,female,60,2,0,23.25,2
332,0,1,Male,45.5,0,0,28.5,3
333,0,1,Male,38,0,1,153.4625,3
334,0,3,Male,16,2,0,18,3
335,1,1,female,60,1,0,133.65,3
336,0,3,Male,60,0,0,7.8958,3
337,0,1,Male,29,1,0,66.6,3
338,1,1,female,41,0,0,134.5,1
339,1,3,Male,45,0,0,8.05,3
340,0,1,Male,45,0,0,35.5,3
341,1,2,Male,2,1,1,26,3
342,1,1,female,24,3,2,263,3
343,0,2,Male,28,0,0,13,3
344,0,2,Male,25,0,0,13,3
345,0,2,Male,36,0,0,13,3
346,1,2,female,24,0,0,13,3
347,1,2,female,40,0,0,13,3
348,1,3,female,60,1,0,16.1,3
349,1,3,Male,3,1,1,15.9,3
350,0,3,Male,42,0,0,8.6625,3
351,0,3,Male,23,0,0,9.225,3
352,0,1,Male,60,0,0,35,3
353,0,3,Male,15,1,1,7.2292,1
354,0,3,Male,25,1,0,17.8,3
355,0,3,Male,60,0,0,7.225,1
356,0,3,Male,28,0,0,9.5,3
357,1,1,female,22,0,1,55,3
358,0,2,female,38,0,0,13,3
359,1,3,female,60,0,0,7.8792,2
360,1,3,female,60,0,0,7.8792,2
361,0,3,Male,40,1,4,27.9,3
362,0,2,Male,29,1,0,27.7208,1
363,0,3,female,45,0,1,14.4542,1
364,0,3,Male,35,0,0,7.05,3
365,0,3,Male,60,1,0,15.5,2
366,0,3,Male,30,0,0,7.25,3
367,1,1,female,60,1,0,75.25,1
368,1,3,female,60,0,0,7.2292,1
369,1,3,female,60,0,0,7.75,2
370,1,1,female,24,0,0,69.3,1
371,1,1,Male,25,1,0,55.4417,1
372,0,3,Male,18,1,0,6.4958,3
373,0,3,Male,19,0,0,8.05,3
374,0,1,Male,22,0,0,135.6333,1
375,0,3,female,3,3,1,21.075,3
376,1,1,female,60,1,0,82.1708,1
377,1,3,female,22,0,0,7.25,3
378,0,1,Male,27,0,2,211.5,1
379,0,3,Male,20,0,0,4.0125,1
380,0,3,Male,19,0,0,7.775,3
381,1,1,female,42,0,0,227.525,1
382,1,3,female,1,0,2,15.7417,1
383,0,3,Male,32,0,0,7.925,3
384,1,1,female,35,1,0,52,3
385,0,3,Male,60,0,0,7.8958,3
386,0,2,Male,18,0,0,73.5,3
387,0,3,Male,1,5,2,46.9,3
388,1,2,female,36,0,0,13,3
389,0,3,Male,60,0,0,7.7292,2
390,1,2,female,17,0,0,12,1
391,1,1,Male,36,1,2,120,3
392,1,3,Male,21,0,0,7.7958,3
393,0,3,Male,28,2,0,7.925,3
394,1,1,female,23,1,0,113.275,1
395,1,3,female,24,0,2,16.7,3
396,0,3,Male,22,0,0,7.7958,3
397,0,3,female,31,0,0,7.8542,3
398,0,2,Male,46,0,0,26,3
399,0,2,Male,23,0,0,10.5,3
400,1,2,female,28,0,0,12.65,3
401,1,3,Male,39,0,0,7.925,3
402,0,3,Male,26,0,0,8.05,3
403,0,3,female,21,1,0,9.825,3
404,0,3,Male,28,1,0,15.85,3
405,0,3,female,20,0,0,8.6625,3
406,0,2,Male,34,1,0,21,3
407,0,3,Male,51,0,0,7.75,3
408,1,2,Male,3,1,1,18.75,3
409,0,3,Male,21,0,0,7.775,3
410,0,3,female,60,3,1,25.4667,3
411,0,3,Male,60,0,0,7.8958,3
412,0,3,Male,60,0,0,6.8583,2
413,1,1,female,33,1,0,90,2
414,0,2,Male,60,0,0,0,3
415,1,3,Male,44,0,0,7.925,3
416,0,3,female,60,0,0,8.05,3
417,1,2,female,34,1,1,32.5,3
418,1,2,female,18,0,2,13,3
419,0,2,Male,30,0,0,13,3
420,0,3,female,10,0,2,24.15,3
421,0,3,Male,60,0,0,7.8958,1
422,0,3,Male,21,0,0,7.7333,2
423,0,3,Male,29,0,0,7.875,3
424,0,3,female,28,1,1,14.4,3
425,0,3,Male,18,1,1,20.2125,3
426,0,3,Male,60,0,0,7.25,3
427,1,2,female,28,1,0,26,3
428,1,2,female,19,0,0,26,3
429,0,3,Male,60,0,0,7.75,2
430,1,3,Male,32,0,0,8.05,3
431,1,1,Male,28,0,0,26.55,3
432,1,3,female,60,1,0,16.1,3
433,1,2,female,42,1,0,26,3
434,0,3,Male,17,0,0,7.125,3
435,0,1,Male,50,1,0,55.9,3
436,1,1,female,14,1,2,120,3
437,0,3,female,21,2,2,34.375,3
438,1,2,female,24,2,3,18.75,3
439,0,1,Male,64,1,4,263,3
440,0,2,Male,31,0,0,10.5,3
441,1,2,female,45,1,1,26.25,3
442,0,3,Male,20,0,0,9.5,3
443,0,3,Male,25,1,0,7.775,3
444,1,2,female,28,0,0,13,3
445,1,3,Male,60,0,0,8.1125,3
446,1,1,Male,4,0,2,81.8583,3
447,1,2,female,13,0,1,19.5,3
448,1,1,Male,34,0,0,26.55,3
449,1,3,female,5,2,1,19.2583,1
450,1,1,Male,52,0,0,30.5,3
451,0,2,Male,36,1,2,27.75,3
452,0,3,Male,60,1,0,19.9667,3
453,0,1,Male,30,0,0,27.75,1
454,1,1,Male,49,1,0,89.1042,1
455,0,3,Male,60,0,0,8.05,3
456,1,3,Male,29,0,0,7.8958,1
457,0,1,Male,65,0,0,26.55,3
458,1,1,female,60,1,0,51.8625,3
459,1,2,female,50,0,0,10.5,3
460,0,3,Male,60,0,0,7.75,2
461,1,1,Male,48,0,0,26.55,3
462,0,3,Male,34,0,0,8.05,3
463,0,1,Male,47,0,0,38.5,3
464,0,2,Male,48,0,0,13,3
465,0,3,Male,60,0,0,8.05,3
466,0,3,Male,38,0,0,7.05,3
467,0,2,Male,60,0,0,0,3
468,0,1,Male,56,0,0,26.55,3
469,0,3,Male,60,0,0,7.725,2
470,1,3,female,0.75,2,1,19.2583,1
471,0,3,Male,60,0,0,7.25,3
472,0,3,Male,38,0,0,8.6625,3
473,1,2,female,33,1,2,27.75,3
474,1,2,female,23,0,0,13.7917,1
475,0,3,female,22,0,0,9.8375,3
476,0,1,Male,60,0,0,52,3
477,0,2,Male,34,1,0,21,3
478,0,3,Male,29,1,0,7.0458,3
479,0,3,Male,22,0,0,7.5208,3
480,1,3,female,2,0,1,12.2875,3
481,0,3,Male,9,5,2,46.9,3
482,0,2,Male,60,0,0,0,3
483,0,3,Male,50,0,0,8.05,3
484,1,3,female,63,0,0,9.5875,3
485,1,1,Male,25,1,0,91.0792,1
486,0,3,female,60,3,1,25.4667,3
487,1,1,female,35,1,0,90,3
488,0,1,Male,58,0,0,29.7,1
489,0,3,Male,30,0,0,8.05,3
490,1,3,Male,9,1,1,15.9,3
491,0,3,Male,60,1,0,19.9667,3
492,0,3,Male,21,0,0,7.25,3
493,0,1,Male,55,0,0,30.5,3
494,0,1,Male,71,0,0,49.5042,1
495,0,3,Male,21,0,0,8.05,3
496,0,3,Male,60,0,0,14.4583,1
497,1,1,female,54,1,0,78.2667,1
498,0,3,Male,60,0,0,15.1,3
499,0,1,female,25,1,2,151.55,3
500,0,3,Male,24,0,0,7.7958,3
501,0,3,Male,17,0,0,8.6625,3
502,0,3,female,21,0,0,7.75,2
503,0,3,female,60,0,0,7.6292,2
504,0,3,female,37,0,0,9.5875,3
505,1,1,female,16,0,0,86.5,3
506,0,1,Male,18,1,0,108.9,1
507,1,2,female,33,0,2,26,3
508,1,1,Male,60,0,0,26.55,3
509,0,3,Male,28,0,0,22.525,3
510,1,3,Male,26,0,0,56.4958,3
511,1,3,Male,29,0,0,7.75,2
512,0,3,Male,60,0,0,8.05,3
513,1,1,Male,36,0,0,26.2875,3
514,1,1,female,54,1,0,59.4,1
515,0,3,Male,24,0,0,7.4958,3
516,0,1,Male,47,0,0,34.0208,3
517,1,2,female,34,0,0,10.5,3
518,0,3,Male,60,0,0,24.15,2
519,1,2,female,36,1,0,26,3
520,0,3,Male,32,0,0,7.8958,3
521,1,1,female,30,0,0,93.5,3
522,0,3,Male,22,0,0,7.8958,3
523,0,3,Male,60,0,0,7.225,1
524,1,1,female,44,0,1,57.9792,1
525,0,3,Male,60,0,0,7.2292,1
526,0,3,Male,40.5,0,0,7.75,2
527,1,2,female,50,0,0,10.5,3
528,0,1,Male,60,0,0,221.7792,3
529,0,3,Male,39,0,0,7.925,3
530,0,2,Male,23,2,1,11.5,3
531,1,2,female,2,1,1,26,3
532,0,3,Male,60,0,0,7.2292,1
533,0,3,Male,17,1,1,7.2292,1
534,1,3,female,60,0,2,22.3583,1
535,0,3,female,30,0,0,8.6625,3
536,1,2,female,7,0,2,26.25,3
537,0,1,Male,45,0,0,26.55,3
538,1,1,female,30,0,0,106.425,1
539,0,3,Male,60,0,0,14.5,3
540,1,1,female,22,0,2,49.5,1
541,1,1,female,36,0,2,71,3
542,0,3,female,9,4,2,31.275,3
543,0,3,female,11,4,2,31.275,3
544,1,2,Male,32,1,0,26,3
545,0,1,Male,50,1,0,106.425,1
546,0,1,Male,64,0,0,26,3
547,1,2,female,19,1,0,26,3
548,1,2,Male,60,0,0,13.8625,1
549,0,3,Male,33,1,1,20.525,3
550,1,2,Male,8,1,1,36.75,3
551,1,1,Male,17,0,2,110.8833,1
552,0,2,Male,27,0,0,26,3
553,0,3,Male,60,0,0,7.8292,2
554,1,3,Male,22,0,0,7.225,1
555,1,3,female,22,0,0,7.775,3
556,0,1,Male,62,0,0,26.55,3
557,1,1,female,48,1,0,39.6,1
558,0,1,Male,60,0,0,227.525,1
559,1,1,female,39,1,1,79.65,3
560,1,3,female,36,1,0,17.4,3
561,0,3,Male,60,0,0,7.75,2
562,0,3,Male,40,0,0,7.8958,3
563,0,2,Male,28,0,0,13.5,3
564,0,3,Male,60,0,0,8.05,3
565,0,3,female,60,0,0,8.05,3
566,0,3,Male,24,2,0,24.15,3
567,0,3,Male,19,0,0,7.8958,3
568,0,3,female,29,0,4,21.075,3
569,0,3,Male,60,0,0,7.2292,1
570,1,3,Male,32,0,0,7.8542,3
571,1,2,Male,62,0,0,10.5,3
572,1,1,female,53,2,0,51.4792,3
573,1,1,Male,36,0,0,26.3875,3
574,1,3,female,60,0,0,7.75,2
575,0,3,Male,16,0,0,8.05,3
576,0,3,Male,19,0,0,14.5,3
577,1,2,female,34,0,0,13,3
578,1,1,female,39,1,0,55.9,3
579,0,3,female,60,1,0,14.4583,1
580,1,3,Male,32,0,0,7.925,3
581,1,2,female,25,1,1,30,3
582,1,1,female,39,1,1,110.8833,1
583,0,2,Male,54,0,0,26,3
584,0,1,Male,36,0,0,40.125,1
585,0,3,Male,60,0,0,8.7125,1
586,1,1,female,18,0,2,79.65,3
587,0,2,Male,47,0,0,15,3
588,1,1,Male,60,1,1,79.2,1
589,0,3,Male,22,0,0,8.05,3
590,0,3,Male,60,0,0,8.05,3
591,0,3,Male,35,0,0,7.125,3
592,1,1,female,52,1,0,78.2667,1
593,0,3,Male,47,0,0,7.25,3
594,0,3,female,60,0,2,7.75,2
595,0,2,Male,37,1,0,26,3
596,0,3,Male,36,1,1,24.15,3
597,1,2,female,60,0,0,33,3
598,0,3,Male,49,0,0,0,3
599,0,3,Male,60,0,0,7.225,1
600,1,1,Male,49,1,0,56.9292,1
601,1,2,female,24,2,1,27,3
602,0,3,Male,60,0,0,7.8958,3
603,0,1,Male,60,0,0,42.4,3
604,0,3,Male,44,0,0,8.05,3
605,1,1,Male,35,0,0,26.55,1
606,0,3,Male,36,1,0,15.55,3
607,0,3,Male,30,0,0,7.8958,3
608,1,1,Male,27,0,0,30.5,3
609,1,2,female,22,1,2,41.5792,1
610,1,1,female,40,0,0,153.4625,3
611,0,3,female,39,1,5,31.275,3
612,0,3,Male,60,0,0,7.05,3
613,1,3,female,60,1,0,15.5,2
614,0,3,Male,60,0,0,7.75,2
615,0,3,Male,35,0,0,8.05,3
616,1,2,female,24,1,2,65,3
617,0,3,Male,34,1,1,14.4,3
618,0,3,female,26,1,0,16.1,3
619,1,2,female,4,2,1,39,3
620,0,2,Male,26,0,0,10.5,3
621,0,3,Male,27,1,0,14.4542,1
622,1,1,Male,42,1,0,52.5542,3
623,1,3,Male,20,1,1,15.7417,1
624,0,3,Male,21,0,0,7.8542,3
625,0,3,Male,21,0,0,16.1,3
626,0,1,Male,61,0,0,32.3208,3
627,0,2,Male,57,0,0,12.35,2
628,1,1,female,21,0,0,77.9583,3
629,0,3,Male,26,0,0,7.8958,3
630,0,3,Male,60,0,0,7.7333,2
631,1,1,Male,80,0,0,30,3
632,0,3,Male,51,0,0,7.0542,3
633,1,1,Male,32,0,0,30.5,1
634,0,1,Male,60,0,0,0,3
635,0,3,female,9,3,2,27.9,3
636,1,2,female,28,0,0,13,3
637,0,3,Male,32,0,0,7.925,3
638,0,2,Male,31,1,1,26.25,3
639,0,3,female,41,0,5,39.6875,3
640,0,3,Male,60,1,0,16.1,3
641,0,3,Male,20,0,0,7.8542,3
642,1,1,female,24,0,0,69.3,1
643,0,3,female,2,3,2,27.9,3
644,1,3,Male,60,0,0,56.4958,3
645,1,3,female,0.75,2,1,19.2583,1
646,1,1,Male,48,1,0,76.7292,1
647,0,3,Male,19,0,0,7.8958,3
648,1,1,Male,56,0,0,35.5,1
649,0,3,Male,60,0,0,7.55,3
650,1,3,female,23,0,0,7.55,3
651,0,3,Male,60,0,0,7.8958,3
652,1,2,female,18,0,1,23,3
653,0,3,Male,21,0,0,8.4333,3
654,1,3,female,60,0,0,7.8292,2
655,0,3,female,18,0,0,6.75,2
656,0,2,Male,24,2,0,73.5,3
657,0,3,Male,60,0,0,7.8958,3
658,0,3,female,32,1,1,15.5,2
659,0,2,Male,23,0,0,13,3
660,0,1,Male,58,0,2,113.275,1
661,1,1,Male,50,2,0,133.65,3
662,0,3,Male,40,0,0,7.225,1
663,0,1,Male,47,0,0,25.5875,3
664,0,3,Male,36,0,0,7.4958,3
665,1,3,Male,20,1,0,7.925,3
666,0,2,Male,32,2,0,73.5,3
667,0,2,Male,25,0,0,13,3
668,0,3,Male,60,0,0,7.775,3
669,0,3,Male,43,0,0,8.05,3
670,1,1,female,60,1,0,52,3
671,1,2,female,40,1,1,39,3
672,0,1,Male,31,1,0,52,3
673,0,2,Male,70,0,0,10.5,3
674,1,2,Male,31,0,0,13,3
